domainID,siteID,plotID,plotType,rootNPercent,rootNPercent_n,rootCPercent,rootCPercent_n,rootCNratio,rootCNratio_n,litterNPercent_mean,litterNPercent_n,litterCPercent_mean,litterCPercent_n,litterCNRatio_mean,litterCNRatio_n,foliarNPercent_mean,foliarNPercent_n,foliarCPercent_mean,foliarCPercent_n,foliarCNRatio_mean,foliarCNRatio_n,soilNPercent_OHoriz_mean,soilNPercent_OHoriz_n,soilCPercent_OHoriz_mean,soilCPercent_OHoriz_n,soilCNRatio_OHoriz_mean,soilCNRatio_OHoriz_n,soilNPercent_MHoriz_mean,soilNPercent_MHoriz_n,soilCPercent_MHoriz_mean,soilCPercent_MHoriz_n,soilCNRatio_MHoriz_mean,soilCNRatio_MHoriz_n
D01,BART,BART_032,tower,0.675,8,48.0125,8,79.2875,8,0.5,2,51.8,2,100.55000000000001,2,NA,NA,NA,NA,NA,NA,1.61,3,43.14333333333333,3,27.133333333333333,3,0.17666666666666667,3,3.9266666666666667,3,21.933333333333334,3
D01,BART,BART_033,tower,0.875,8,49.2125,8,65.45,8,0.55,2,49.95,2,95.94999999999999,2,NA,NA,NA,NA,NA,NA,1.66,3,48.85333333333333,3,29.7,3,0.24333333333333335,3,5.773333333333333,3,23.366666666666667,3
D01,BART,BART_034,tower,0.7000000000000001,8,49.7625,8,81.4,8,0.5,1,50.9,1,98.7,1,NA,NA,NA,NA,NA,NA,1.5966666666666667,3,46.53333333333333,3,29.533333333333335,3,0.2966666666666667,3,7.1466666666666665,3,24.2,3
D01,BART,BART_036,tower,0.8125,8,49.975,8,68.775,8,0.55,2,50.9,2,95.3,2,NA,NA,NA,NA,NA,NA,1.4466666666666665,3,39.71,3,28.46666666666667,3,0.23,3,5.546666666666667,3,23.766666666666666,3
D01,BART,BART_037,tower,0.7125,8,48.55,8,79.6875,8,0.55,2,50.150000000000006,2,94.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_039,tower,0.65,8,49.275,8,85.7875,8,0.45,2,51.05,2,107.85,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_040,tower,0.6875,8,48.0375,8,86.6625,8,0.6,1,49.6,1,89.8,1,NA,NA,NA,NA,NA,NA,1.79,3,42.513333333333335,3,23.766666666666666,3,0.19,3,4.3566666666666665,3,22.46666666666667,3
D01,BART,BART_041,tower,0.75,8,49.0625,8,74.75,8,0.55,2,51.85,2,94.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_042,tower,0.8375,8,47.85,8,66.5875,8,0.6,2,49.900000000000006,2,81.9,2,NA,NA,NA,NA,NA,NA,1.6366666666666667,3,44.00666666666667,3,28.3,3,0.25666666666666665,3,5.696666666666667,3,21.133333333333333,3
D01,BART,BART_044,tower,0.7000000000000001,8,48.725,8,78.9375,8,0.5,2,51.75,2,107.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_046,tower,0.7,8,49.3125,8,86.95,8,0.6,1,50.5,1,82.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_047,tower,0.7000000000000001,8,48.775,8,83.4625,8,0.55,2,50.400000000000006,2,97.65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_050,tower,0.6875,8,48.6875,8,84.1125,8,0.6,2,49.95,2,89.75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_051,tower,0.625,8,50.05,8,90.775,8,0.5,2,50.7,2,102.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_070,tower,0.725,8,48.7625,8,77.6625,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_071,tower,0.65,8,47.775,8,95.725,8,0.4,2,51.75,2,115.94999999999999,2,NA,NA,NA,NA,NA,NA,1.5033333333333334,3,42.17,3,28.066666666666666,3,0.17,3,5.4,3,31.366666666666667,3
D01,BART,BART_072,tower,0.825,8,49.6,8,69.8875,8,0.55,2,51.6,2,98.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_073,tower,0.65,8,49.0625,8,88.3125,8,0.45,2,51,2,112.65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_074,tower,0.7375,8,48.7125,8,77.6375,8,0.55,2,51.1,2,95.55,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,BART,BART_075,tower,0.775,8,48.125,8,80.3625,8,0.6,2,50.95,2,93.05,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,HARV,HARV_033,tower,0.69625,8,50.515,8,59.325,4,NA,NA,NA,NA,NA,NA,1.43,3,48.339999999999996,3,36.2,3,1.5316666666666667,6,37.605,6,25.15,6,0.2316666666666667,6,4.5633333333333335,6,20.1,6
D01,HARV,HARV_034,tower,0.68875,8,48.53125,8,62.6,5,NA,NA,NA,NA,NA,NA,1.0733333333333335,3,52.266666666666666,3,48.699999999999996,3,1.37,6,41.8,6,30.53333333333333,6,0.20500000000000002,6,4.781666666666666,6,23.233333333333334,6
D01,HARV,HARV_035,tower,0.7075,8,49.67125,8,56.099999999999994,4,NA,NA,NA,NA,NA,NA,1.5233333333333332,3,50.66,3,34.266666666666666,3,1.3266666666666667,6,39.406666666666666,6,30.299999999999997,6,0.205,6,5.821666666666667,6,28.4,6
D01,HARV,HARV_036,tower,0.82375,8,47.90875,8,51.88,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,HARV,HARV_037,tower,0.8177777777777777,9,49.63375,8,46.66,5,NA,NA,NA,NA,NA,NA,1.3366666666666667,3,50.93333333333334,3,38.53333333333333,3,1.1766666666666667,3,40.22,3,34.43333333333334,3,0.28,3,8.463333333333333,3,30.733333333333334,3
D01,HARV,HARV_038,tower,0.6933333333333334,9,50.53,8,55.38,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,HARV,HARV_039,tower,0.69375,8,50.92375,8,64.53999999999999,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
