domainID,siteID,rootN_totalreps,rootN_plotreps,rootC_totalreps,rootC_plotreps,rootCNR_totalreps,rootCNR_plotreps,litterN_totalreps,litterN_plotreps,litterC_totalreps,litterC_plotreps,litterCNR_totalreps,litterCNR_plotreps,foliarN_totalreps,foliarN_plotreps,foliarC_totalreps,foliarC_plotreps,foliarCNR_totalreps,foliarCNR_plotreps,NPercent_OHoriz_totalreps,NPercent_OHoriz_plotreps,NPercent_MinHoriz_totalreps,NPercent_MinHoriz_plotreps,CPercent_OHoriz_totalreps,CPercent_OHoriz_plotreps,CPercent_MinHoriz_totalreps,CPercent_MinHoriz_plotreps,CNRatio_OHoriz_totalreps,CNRatio_OHoriz_plotreps,CNRatio_MinHoriz_totalreps,CNRatio_MinHoriz_plotreps
D01,BART,169,20,169,20,169,20,37,19,37,19,37,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01,HARV,171,20,171,20,104,20,41,20,41,20,24,20,45,14,45,14,45,14,30,10,30,10,30,10,30,10,30,10,30,10
D02,SCBI,169,20,169,20,169,20,13,12,13,12,13,12,44,14,44,14,44,14,0,0,33,10,0,0,33,10,0,0,33,10
D03,DSNY,103,30,103,30,103,30,NA,NA,NA,NA,NA,NA,44,14,44,14,44,14,0,0,30,10,0,0,30,10,0,0,30,10
D03,JERC,129,20,128,20,66,20,37,20,37,20,37,20,47,22,47,22,47,22,0,0,30,10,0,0,30,10,0,0,30,10
D04,GUAN,119,17,119,17,115,17,22,20,22,20,22,20,45,14,45,14,45,14,0,0,58,10,0,0,58,10,0,0,0,10
D05,STEI,140,17,140,17,140,17,26,17,26,17,26,17,43,14,43,14,43,14,4,2,30,10,4,2,30,10,4,2,30,10
D05,UNDE,253,20,253,20,253,20,69,20,69,20,69,20,50,20,50,20,50,20,16,7,19,9,16,7,19,9,16,7,19,9
D06,KONA,42,25,42,25,42,25,NA,NA,NA,NA,NA,NA,21,20,21,20,21,20,0,0,29,10,0,0,29,10,0,0,29,10
D06,KONZ,120,30,120,30,120,30,5,4,5,4,5,4,27,20,27,20,27,20,0,0,27,9,0,0,27,9,0,0,0,9
D06,UKFS,171,20,171,20,171,20,23,20,23,20,23,20,43,14,43,14,43,14,0,0,30,10,0,0,30,10,0,0,30,10
D07,MLBS,133,16,133,16,133,16,19,16,19,16,19,16,45,14,45,14,45,14,30,10,30,10,30,10,30,10,30,10,30,10
D07,ORNL,176,20,176,20,176,20,25,20,25,20,25,20,42,14,42,14,42,14,30,10,30,10,30,10,30,10,30,10,30,10
D08,DELA,128,20,128,20,128,20,22,20,22,20,22,20,47,15,47,15,47,15,0,0,30,10,0,0,30,10,0,0,30,10
D08,LENO,85,10,85,10,85,10,17,10,17,10,13,10,45,14,45,14,45,14,0,0,30,10,0,0,30,10,0,0,30,10
D08,TALL,174,20,174,20,174,20,52,20,52,20,52,20,46,14,46,14,46,14,5,2,28,10,5,2,28,10,5,2,28,10
D09,DCFS,96,30,96,30,96,30,NA,NA,NA,NA,NA,NA,21,20,21,20,21,20,0,0,28,10,0,0,30,10,0,0,0,10
D09,WOOD,51,29,51,29,51,29,NA,NA,NA,NA,NA,NA,21,20,21,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D10,STER,17,10,17,10,17,10,NA,NA,NA,NA,NA,NA,13,12,13,12,13,12,0,0,30,10,0,0,30,10,0,0,0,10
D11,CLBJ,93,30,93,30,93,30,23,22,23,22,23,22,45,20,45,20,45,20,0,0,30,10,0,0,30,10,0,0,0,10
