siteID,plotID,plotType,coarseRootNPercent,fineRootNPercent,litterNPercent,taxonID,foliarNPercent,horizon,soilNPercent
BART,BART_032,tower,0.4,0.7666666666666666,0.5,NA,NA,NA,NA
BART,BART_033,tower,0.5,1,0.55,NA,NA,NA,NA
BART,BART_034,tower,0.35,0.8166666666666667,0.5,NA,NA,NA,NA
BART,BART_036,tower,0.55,0.8916666666666667,0.55,NA,NA,NA,NA
BART,BART_037,tower,0.45,0.8,0.5333333333333333,NA,NA,NA,NA
BART,BART_039,tower,0.35,0.75,0.45,NA,NA,NA,NA
BART,BART_040,tower,0.35,0.8,0.6,NA,NA,NA,NA
BART,BART_041,tower,0.45,0.8500000000000001,0.55,NA,NA,NA,NA
BART,BART_042,tower,0.5,0.95,0.6,NA,NA,NA,NA
BART,BART_044,tower,0.4,0.8083333333333333,0.5,NA,NA,NA,NA
BART,BART_046,tower,0.35,0.8166666666666667,0.6,NA,NA,NA,NA
BART,BART_047,tower,0.35,0.8166666666666667,0.55,NA,NA,NA,NA
BART,BART_050,tower,0.35,0.8,0.6,NA,NA,NA,NA
BART,BART_051,tower,0.35,0.7166666666666666,0.5,NA,NA,NA,NA
BART,BART_070,tower,0.4,0.8333333333333333,NA,NA,NA,NA,NA
BART,BART_071,tower,0.30000000000000004,0.7666666666666667,0.43333333333333335,NA,NA,NA,NA
BART,BART_072,tower,0.45,0.95,0.55,NA,NA,NA,NA
BART,BART_073,tower,0.3,0.7666666666666666,0.45,NA,NA,NA,NA
BART,BART_074,tower,0.32499999999999996,0.875,0.55,NA,NA,NA,NA
BART,BART_075,tower,0.3,0.9333333333333333,0.6,NA,NA,NA,NA
DEJU,DEJU_045,tower,0.585,0.8683333333333334,NA,PIMA,0.78,M,0.10333333333333333
DEJU,DEJU_045,tower,0.585,0.8683333333333334,NA,PIMA,0.78,O,0.47333333333333333
DEJU,DEJU_046,tower,0.415,0.75,0.37,PIMA,0.6266666666666667,M,0.18333333333333332
DEJU,DEJU_046,tower,0.415,0.75,0.37,PIMA,0.6266666666666667,O,0.6133333333333333
DEJU,DEJU_047,tower,0.41500000000000004,0.8741666666666666,0.515,PIMA,0.7,M,0.17666666666666667
DEJU,DEJU_047,tower,0.41500000000000004,0.8741666666666666,0.515,PIMA,0.7,O,0.9933333333333334
DEJU,DEJU_047,tower,0.41500000000000004,0.8741666666666666,0.515,POTR5,2.52,M,0.17666666666666667
DEJU,DEJU_047,tower,0.41500000000000004,0.8741666666666666,0.515,POTR5,2.52,O,0.9933333333333334
DEJU,DEJU_048,tower,0.42999999999999994,0.6975,0.27,PIMA,0.6975,M,0.16666666666666666
DEJU,DEJU_048,tower,0.42999999999999994,0.6975,0.27,PIMA,0.6975,O,0.39
DEJU,DEJU_049,tower,0.5599999999999999,0.7983333333333333,0.26,NA,NA,NA,NA
DEJU,DEJU_050,tower,0.455,0.8183333333333334,NA,NA,NA,NA,NA
DEJU,DEJU_051,tower,0.32,0.7683333333333333,0.475,NA,NA,NA,NA
DEJU,DEJU_052,tower,0.6200000000000001,0.9066666666666667,NA,NA,NA,NA,NA
DEJU,DEJU_053,tower,0.395,0.7533333333333334,0.32,NA,NA,NA,NA
DEJU,DEJU_054,tower,0.575,0.8316666666666667,NA,NA,NA,NA,NA
DEJU,DEJU_055,tower,0.385,0.7766666666666666,NA,NA,NA,NA,NA
DEJU,DEJU_056,tower,0.4225,0.685,0.29,NA,NA,NA,NA
DEJU,DEJU_057,tower,0.675,0.8766666666666667,NA,NA,NA,NA,NA
DEJU,DEJU_058,tower,0.33,0.775,0.28,NA,NA,NA,NA
DEJU,DEJU_059,tower,0.385,0.6675,0.25,NA,NA,NA,NA
DEJU,DEJU_060,tower,0.33499999999999996,0.7925,0.3,NA,NA,NA,NA
