siteID,plotID,plotType,coarseRootNPercent,fineRootNPercent,litterNPercent,foliarNPercent,soilNPercentOHoriz,soilNPercentMHoriz
BART,BART_032,tower,0.4,0.7666666666666666,0.5,NA,NA,NA
BART,BART_033,tower,0.5,1,0.55,NA,NA,NA
BART,BART_034,tower,0.35,0.8166666666666667,0.5,NA,NA,NA
BART,BART_036,tower,0.55,0.8916666666666667,0.55,NA,NA,NA
BART,BART_037,tower,0.45,0.8,0.5333333333333333,NA,NA,NA
BART,BART_039,tower,0.35,0.75,0.45,NA,NA,NA
BART,BART_040,tower,0.35,0.8,0.6,NA,NA,NA
BART,BART_041,tower,0.45,0.8500000000000001,0.55,NA,NA,NA
BART,BART_042,tower,0.5,0.95,0.6,NA,NA,NA
BART,BART_044,tower,0.4,0.8083333333333333,0.5,NA,NA,NA
BART,BART_046,tower,0.35,0.8166666666666667,0.6,NA,NA,NA
BART,BART_047,tower,0.35,0.8166666666666667,0.55,NA,NA,NA
BART,BART_050,tower,0.35,0.8,0.6,NA,NA,NA
BART,BART_051,tower,0.35,0.7166666666666666,0.5,NA,NA,NA
BART,BART_070,tower,0.4,0.8333333333333333,NA,NA,NA,NA
BART,BART_071,tower,0.30000000000000004,0.7666666666666667,0.43333333333333335,NA,NA,NA
BART,BART_072,tower,0.45,0.95,0.55,NA,NA,NA
BART,BART_073,tower,0.3,0.7666666666666666,0.45,NA,NA,NA
BART,BART_074,tower,0.32499999999999996,0.875,0.55,NA,NA,NA
BART,BART_075,tower,0.3,0.9333333333333333,0.6,NA,NA,NA
DEJU,DEJU_045,tower,0.585,0.8683333333333334,NA,0.78,0.47333333333333333,0.10333333333333333
DEJU,DEJU_046,tower,0.415,0.75,0.37,0.6266666666666667,0.6133333333333333,0.18333333333333332
DEJU,DEJU_047,tower,0.41500000000000004,0.8741666666666666,0.515,1.3066666666666666,0.9933333333333334,0.17666666666666667
DEJU,DEJU_048,tower,0.42999999999999994,0.6975,0.27,0.6975,0.39,0.16666666666666666
DEJU,DEJU_049,tower,0.5599999999999999,0.7983333333333333,0.26,NA,NA,NA
DEJU,DEJU_050,tower,0.455,0.8183333333333334,NA,NA,NA,NA
DEJU,DEJU_051,tower,0.32,0.7683333333333333,0.475,NA,NA,NA
DEJU,DEJU_052,tower,0.6200000000000001,0.9066666666666667,NA,NA,NA,NA
DEJU,DEJU_053,tower,0.395,0.7533333333333334,0.32,NA,NA,NA
DEJU,DEJU_054,tower,0.575,0.8316666666666667,NA,NA,NA,NA
DEJU,DEJU_055,tower,0.385,0.7766666666666666,NA,NA,NA,NA
DEJU,DEJU_056,tower,0.4225,0.685,0.29,NA,NA,NA
DEJU,DEJU_057,tower,0.675,0.8766666666666667,NA,NA,NA,NA
DEJU,DEJU_058,tower,0.33,0.775,0.28,NA,NA,NA
DEJU,DEJU_059,tower,0.385,0.6675,0.25,NA,NA,NA
DEJU,DEJU_060,tower,0.33499999999999996,0.7925,0.3,NA,NA,NA
DEJU,DEJU_061,tower,0.32999999999999996,0.7166666666666666,0.29,NA,NA,NA
DEJU,DEJU_062,tower,0.395,0.6633333333333333,0.27,NA,NA,NA
DEJU,DEJU_063,tower,0.31,0.7966666666666666,0.28500000000000003,NA,NA,NA
DEJU,DEJU_064,tower,0.405,0.7783333333333333,0.31,NA,NA,NA
DSNY,DSNY_041,tower,1.01,0.7433333333333333,NA,1.01,NA,0.05333333333333334
DSNY,DSNY_042,tower,0.35,0.6566666666666667,NA,1.1725,NA,0.11333333333333333
DSNY,DSNY_043,tower,NaN,0.63,NA,1.2850000000000001,NA,0.043333333333333335
DSNY,DSNY_044,tower,NaN,0.635,NA,0.6,NA,0.07
DSNY,DSNY_045,tower,0.43,0.6533333333333333,NA,NA,NA,NA
DSNY,DSNY_046,tower,NaN,0.5333333333333333,NA,NA,NA,NA
DSNY,DSNY_047,tower,NaN,0.52,NA,NA,NA,NA
DSNY,DSNY_048,tower,NaN,0.82,NA,NA,NA,NA
DSNY,DSNY_049,tower,NaN,0.6066666666666667,NA,NA,NA,NA
DSNY,DSNY_050,tower,0.64,0.54,NA,NA,NA,NA
DSNY,DSNY_051,tower,0.97,0.6433333333333333,NA,NA,NA,NA
DSNY,DSNY_052,tower,NaN,0.685,NA,NA,NA,NA
DSNY,DSNY_053,tower,NaN,0.59,NA,NA,NA,NA
DSNY,DSNY_054,tower,NaN,0.445,NA,NA,NA,NA
DSNY,DSNY_055,tower,NaN,0.5133333333333333,NA,NA,NA,NA
DSNY,DSNY_056,tower,0.19,0.43333333333333335,NA,NA,NA,NA
DSNY,DSNY_057,tower,NaN,0.54,NA,NA,NA,NA
DSNY,DSNY_058,tower,NaN,0.6,NA,NA,NA,NA
DSNY,DSNY_059,tower,NaN,0.7050000000000001,NA,NA,NA,NA
DSNY,DSNY_060,tower,NaN,0.9866666666666667,NA,NA,NA,NA
DSNY,DSNY_061,tower,NaN,0.7066666666666667,NA,NA,NA,NA
DSNY,DSNY_062,tower,0.24,0.6116666666666667,NA,NA,NA,NA
DSNY,DSNY_063,tower,0.51,0.8833333333333333,NA,NA,NA,NA
DSNY,DSNY_064,tower,NaN,0.925,NA,NA,NA,NA
DSNY,DSNY_065,tower,0.61,0.9433333333333334,NA,NA,NA,NA
DSNY,DSNY_066,tower,1.13,1.1566666666666667,NA,NA,NA,NA
DSNY,DSNY_067,tower,NaN,0.39666666666666667,NA,NA,NA,NA
DSNY,DSNY_068,tower,NaN,0.4066666666666667,NA,NA,NA,NA
DSNY,DSNY_069,tower,0.23,0.5133333333333333,NA,NA,NA,NA
DSNY,DSNY_070,tower,1.05,0.52,NA,NA,NA,NA
GUAN,GUAN_043,tower,0.615,1.165,1.19,2.4466666666666668,NA,0.7216666666666667
GUAN,GUAN_044,tower,0.62,1.3333333333333333,1.38,NA,NA,NA
GUAN,GUAN_045,tower,0.655,1.27,1.15,NA,NA,NA
GUAN,GUAN_047,tower,0.875,1.275,1.18,NA,NA,NA
GUAN,GUAN_049,tower,1.1600000000000001,1.9733333333333334,1.6,1.9375,NA,0.962
GUAN,GUAN_050,tower,0.76,1.33,0.87,NA,NA,NA
GUAN,GUAN_051,tower,1.11,1.5333333333333332,1.4,NA,NA,NA
GUAN,GUAN_052,tower,1.145,1.6400000000000001,0.91,NA,NA,NA
GUAN,GUAN_053,tower,0.815,1.4833333333333334,0.98,NA,NA,NA
GUAN,GUAN_054,tower,1.725,2.3233333333333333,1.6349999999999998,NA,NA,NA
