"uid","namedLocation","domainID","siteID","plotType","sampleID","sampleCode","collectDate","lmaSampleID","lmaSampleCode","lmaSampleCondition","scanDate","scannedBy","freshMass","ovenStartDate","ovenEndDate","dryMass","weighedBy","scannedLeafNumber","leafArea","percentGreen","leafMassPerArea","dryMassFraction","measuredBy","remarks","dataQF"
"84408734-828e-49ce-a1fa-ab932d80f955","HARV_033.basePlot.cfc","D01","HARV","tower","AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=","A00000000772","2018-08-29T13:38Z","AVQkM2txccdJInaV60DTclWghgJyQkIgidIe9c/1ZiU=",NA,"OK","2018-08-30T18:31Z","opiscitelli@battelleecology.org",0.37,"2018-08-30T18:34Z","2018-09-07T16:11Z",0.16,"llukas@battelleecology.org",42,475.6,100,336.4,0.432,"scook@battelleecology.org",NA,NA
"da3ec396-112b-484f-90fb-ef06c4b1e37b","HARV_033.basePlot.cfc","D01","HARV","tower","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=","A00000000744","2018-08-30T13:54Z","AVQkM2txcccfnFvOIWuQJKbDLFELfXIR9IoaI1W8DUkkfEfDH8mIcg==",NA,"OK","2018-09-04T12:30Z","scook@battelleecology.org",3.82,"2018-09-04T14:00Z","2018-09-10T19:28Z",1.7,"llukas@battelleecology.org",1,20839.4,99,81.6,0.445,"scook@battelleecology.org",NA,NA
"555bf664-2eeb-4464-b427-a790871cca5f","HARV_033.basePlot.cfc","D01","HARV","tower","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=","A00000000773","2018-08-30T14:54Z","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XcDAbJb8oE8g=",NA,"OK","2018-09-04T12:30Z","scook@battelleecology.org",2.38,"2018-09-04T14:00Z","2018-09-10T19:29Z",0.99,"llukas@battelleecology.org",6,18864.9,90,52.5,0.416,"scook@battelleecology.org",NA,NA
"41ea5fae-b8ef-481c-a9ac-a6ea010f4ef9","HARV_035.basePlot.cfc","D01","HARV","tower","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=","A00000000788","2018-08-30T18:38Z","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+scM7TsyFCP0=",NA,"OK","2018-09-04T12:30Z","scook@battelleecology.org",2.36,"2018-09-04T14:00Z","2018-09-10T19:26Z",1.21,"llukas@battelleecology.org",6,18487.9,99,65.4,0.513,"scook@battelleecology.org",NA,NA
"069be7f3-55a6-4f5f-95d5-47d5bfa2b9b5","HARV_035.basePlot.cfc","D01","HARV","tower","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=","A00000000745","2018-08-30T19:35Z","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpBZha9gNuCpw=",NA,"OK","2018-09-04T12:38Z","scook@battelleecology.org",2.94,"2018-09-04T14:00Z","2018-09-10T19:28Z",1.43,"llukas@battelleecology.org",6,21143,96,67.6,0.486,"scook@battelleecology.org",NA,NA
"6dd87838-28ca-46f1-a496-ab71b98f49e8","HARV_035.basePlot.cfc","D01","HARV","tower","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786","2018-09-04T15:09Z","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBfvfO8t8hb7k=",NA,"OK","2018-09-05T16:02Z","scook@battelleecology.org",0.28,"2018-09-05T16:02Z","2018-09-10T19:32Z",0.09,"llukas@battelleecology.org",45,737.9,100,122,0.321,"scook@battelleecology.org","",NA
"8e617415-5691-44e4-bdc9-eebf915f20cd","HARV_037.basePlot.cfc","D01","HARV","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771","2018-09-04T18:41Z","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJkGPs2pJ/k0w=",NA,"OK","2018-09-05T16:15Z","scook@battelleecology.org",0.19,"2018-09-05T16:19Z","2018-09-10T19:35Z",0.08,"llukas@battelleecology.org",35,576.4,100,138.8,0.421,"scook@battelleecology.org","",NA
"fc7d21ea-2bff-4d58-b91d-609a462a3869","HARV_037.basePlot.cfc","D01","HARV","tower","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770","2018-09-04T20:14Z","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MFw4mmE62bxE=",NA,"OK","2018-09-05T15:22Z","scook@battelleecology.org",3.42,"2018-09-05T15:48Z","2018-09-10T19:33Z",1.75,"llukas@battelleecology.org",6,17059.1,98,102.6,0.512,"scook@battelleecology.org","",NA
"8d7ea8cd-43fb-4be2-854c-4513374b366e","HARV_013.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768","2018-09-05T14:07Z","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6kJ4Owz3iAgaiE5Pk+fpOTA==",NA,"OK","2018-09-06T15:02Z","llukas@battelleecology.org",2.11,"2018-09-06T15:05Z","2018-09-10T19:40Z",1,"llukas@battelleecology.org",4,14587.5,99,68.6,0.474,"scook@battelleecology.org","",NA
"bb8f8edf-8113-4f59-ae3f-0d156e36da4d","HARV_013.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769","2018-09-05T14:50Z","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgC2244UxU/9w=",NA,"OK","2018-09-06T14:35Z","llukas@battelleecology.org",0.72,"2018-09-06T14:37Z","2018-09-10T19:38Z",0.33,"llukas@battelleecology.org",33,1750.2,100,188.6,0.458,"scook@battelleecology.org","",NA
"72cf9829-a4fc-46db-af7a-ff3e0217227d","HARV_013.basePlot.cfc","D01","HARV","distributed","AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=","A00000000780","2018-09-05T16:06Z","AVQkM2txccdU9XU1geX3p7dBL1yeO83xDnaPTm21Y0I=",NA,"OK","2018-09-06T14:50Z","llukas@battelleecology.org",2.22,"2018-09-06T14:53Z","2018-09-10T19:39Z",1.19,"llukas@battelleecology.org",5,12106.2,99,98.3,0.536,"scook@battelleecology.org","",NA
"acb65ac1-7171-4df9-bfc0-22134eca9129","HARV_006.basePlot.cfc","D01","HARV","distributed","AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=","A00000000765","2018-09-05T18:04Z","AVQkM2txccff87SxuZNcE+iY147qeowccBlSnIx+y9c=",NA,"OK","2018-09-06T12:57Z","opiscitelli@battelleecology.org",3.74,"2018-09-06T13:13Z","2018-09-10T19:37Z",2.12,"llukas@battelleecology.org",6,19438.5,99,109.1,0.567,"llukas@battelleecology.org","",NA
"36a36e88-b9e3-4f61-84fd-73d871a73490","HARV_006.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=","A00000000747","2018-09-06T13:01Z","AVQkM2txcccbfq2mByGOeXPHFFcT7zucMhVLQVN6EPs=",NA,"OK","2018-09-07T15:05Z","llukas@battelleecology.org",3.79,"2018-09-07T15:15Z","2018-09-10T19:42Z",1.9,"llukas@battelleecology.org",4,21615.2,98,87.9,0.501,"scook@battelleecology.org","",NA
"8e49a71f-d0b7-46f7-a054-f0a142dabf18","HARV_006.basePlot.cfc","D01","HARV","distributed","AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=","A00000000764","2018-09-06T14:34Z","AVQkM2txccenLB73JxEdacLoLcwaSeCKSPaKxvGTl+0=",NA,"OK","2018-09-07T15:38Z","llukas@battelleecology.org",2.8,"2018-09-07T15:41Z","2018-09-10T19:44Z",1.47,"llukas@battelleecology.org",5,15331.2,100,95.9,0.525,"llukas@battelleecology.org","Originally recorded as QURU",NA
"47b583ff-e98e-40bd-ac2a-9a735ac4c4ff","HARV_004.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=","A00000000743","2018-09-06T16:56Z","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5bnzPMAb6zPY=",NA,"OK","2018-09-07T15:47Z","llukas@battelleecology.org",2.98,"2018-09-07T15:48Z","2018-09-10T19:43Z",1.5,"llukas@battelleecology.org",4,15753.3,98,95.2,0.503,"llukas@battelleecology.org","",NA
"0bd953a8-c302-4242-8f7a-0da4d2ec71ce","HARV_004.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7W5OTZwMQwvE=","A00000000758","2018-09-06T18:11Z","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7z2dkEQdMsskX0f7cdbpd0g==",NA,"OK","2018-09-07T15:26Z","llukas@battelleecology.org",8.52,"2018-09-07T15:30Z","2018-09-10T19:44Z",3.9,"llukas@battelleecology.org",1,60541.4,98,64.4,0.458,"llukas@battelleecology.org","",NA
"533ecaa4-f186-4ecb-b56c-b696b268d3cc","HARV_004.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccSmS/+trysX9MD/YSgk8+T4vjMfdPDA4I=","A00000000767","2018-09-07T14:22Z","AVQkM2txcccSmS/+trysX9MD/YSgk8+TfBWWmCMOXjY=",NA,"OK","2018-09-10T19:03Z","llukas@battelleecology.org",3.4,"2018-09-10T19:04Z","2018-09-17T15:23Z",1.802,"llukas@battelleecology.org",6,19020.5,99,94.7,0.53,"llukas@battelleecology.org","",NA
