"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","sampleCode","ligninSampleID","ligninSampleBarcode","collectDate","analysisDate","analyticalRepNumber","dryMass","digestVolume","foliarPhosphorusConc","foliarPotassiumConc","foliarCalciumConc","foliarMagnesiumConc","foliarSulfurConc","foliarManganeseConc","foliarIronConc","foliarCopperConc","foliarBoronConc","foliarZincConc","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"d6e04fb7-b8fd-4f6e-986f-352525bf1f39","SERC_047.basePlot.cfc","D02","SERC","SERC_047","tower","FOQ0AtY6KEycCvMIsKDR9qNbT+1GFPfyHZGlcbpW2wU=",NA,"FOQ0AtY6KEycCvMIsKDR9qNbT+1GFPfyP6Q6vht7KJM=",NA,"2016-07-25T17:14Z","2016-09-30",1,0.484,50,0.219,1.775,1.825,0.509,0.206,497.6,67.1,6.7,44.4,18.8,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
"70ddba50-ca81-424e-b420-28dd43eb28ef","SERC_047.basePlot.cfc","D02","SERC","SERC_047","tower","FOQ0AtY6KEzN/QG7hSTZIMp0rdhB5W1Zm7PE6F5tL0U=",NA,"FOQ0AtY6KEzN/QG7hSTZIMp0rdhB5W1Zj3RSG/r81SI=",NA,"2016-07-25T19:25Z","2016-09-30",1,0.486,50,0.189,0.937,0.995,0.157,0.153,302.5,92.5,7.1,72.7,16.6,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
"8e34ebcc-b253-47ef-8de9-da1ed5359bb9","SERC_047.basePlot.cfc","D02","SERC","SERC_047","tower","FOQ0AtY6KExU6N6QJ/ivTxNyb5GdiOgbLXoIi89tfoM=",NA,"FOQ0AtY6KExU6N6QJ/ivTxNyb5GdiOgbODZDh+ZdOeyN45W0MOOlww==",NA,"2016-07-25T20:45Z","2016-09-30",1,0.46,50,0.145,1.071,1.501,0.396,0.134,787.2,65.9,7.3,67.9,48.5,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
"41f5d752-8b4d-4245-8602-080cfe510653","SERC_005.basePlot.cfc","D02","SERC","SERC_005","distributed","FOQ0AtY6KEyRIJoI2jxGWCF8o7YZ6gOCNGkVijysuis=",NA,"FOQ0AtY6KEyRIJoI2jxGWCF8o7YZ6gOCkzdw3dPXaIw=",NA,"2016-07-25T22:15Z","2016-09-30",1,0.471,50,0.111,0.844,0.472,0.124,0.141,81.5,69,4.5,54.1,27.2,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
"d65ac65c-5721-4bde-9a06-ea6d3abbd161","SERC_005.basePlot.cfc","D02","SERC","SERC_005","distributed","FOQ0AtY6KEyRIJoI2jxGWGH0yGJHKgk2h17T9yFmTY8=",NA,"FOQ0AtY6KEyRIJoI2jxGWGH0yGJHKgk2+fpGYugYB5c=",NA,"2016-07-25T23:40Z","2016-09-30",1,0.482,50,0.122,0.809,0.547,0.14,0.177,143.2,98.1,5.4,45.7,16.5,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
"5790ddc6-d3e0-4cc3-876e-c0e5e686ce75","SERC_005.basePlot.cfc","D02","SERC","SERC_005","distributed","FOQ0AtY6KEx8oT1WwPGcZuEBs/AbXNaJ6d05gokmYYM=",NA,"FOQ0AtY6KEx8oT1WwPGcZuEBs/AbXNaJXni29IbyYAI=",NA,"2016-07-26T14:00Z","2016-09-30",1,0.466,50,0.3,1.586,1.706,0.368,0.236,257.2,85.5,9,46.4,23.5,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
"1cf3b4db-0956-4789-81ef-e39b771be2b7","SERC_005.basePlot.cfc","D02","SERC","SERC_005","distributed","FOQ0AtY6KEwCr79yliLmJtIKdjb1qKkOBquWMbz6/GU=",NA,"FOQ0AtY6KEwCr79yliLmJtIKdjb1qKkO5vs2ZwsTzqQ=",NA,"2016-07-26T14:30Z","2016-09-30",1,0.472,50,0.146,0.982,0.501,0.168,0.141,82.9,61.2,5.6,55.2,20.9,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
"8dbb02bf-c27f-4154-97eb-27cada014883","SERC_003.basePlot.cfc","D02","SERC","SERC_003","distributed","FOQ0AtY6KEyZ2MJ9ABD3LHLkE2teY00o4FGvxLVln+4=",NA,"FOQ0AtY6KEyZ2MJ9ABD3LHLkE2teY00opwNfua1V4LI=",NA,"2016-07-26T16:01Z","2016-09-30",1,0.476,50,0.214,1.132,2.624,0.336,0.22,229.2,57.3,6.1,76.8,19.7,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
"4a175f70-b2c4-454b-8dc9-5155ee0409fe","SERC_003.basePlot.cfc","D02","SERC","SERC_003","distributed","FOQ0AtY6KEy+pAaUheo1thGWj9/Lea/CFDP3TUGjRbU=",NA,"FOQ0AtY6KEy+pAaUheo1thGWj9/Lea/CNb5RrsXTkrPwWcwpixFqag==",NA,"2016-07-26T16:45Z","2016-09-30",1,0.475,50,0.229,0.631,0.966,0.318,0.123,363.2,58.3,3.9,31.4,45.4,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
"3f389ff2-14f1-4c5e-8290-4adcd00db173","SERC_003.basePlot.cfc","D02","SERC","SERC_003","distributed","FOQ0AtY6KEyBaCrl0dkwi2wpvZe9FC3/nUl7zsdUn0g=",NA,"FOQ0AtY6KEyBaCrl0dkwi2wpvZe9FC3/fNin+5Kmfu0=",NA,"2016-07-26T17:45Z","2016-09-30",1,0.475,50,0.149,0.989,0.8,0.159,0.153,531.3,81.6,4.3,70.7,23.8,"0","0",NA,"University of Wisconsin Soil and Forage Analysis Lab","UWSFAL Analysis of Major, Minor and Trace Elements in Plant Tissue Samples with ICP-OES and ICP-MS","QbsIz6m/JNpl2O9/7aT0KQ==","hiDaz5AD8ZBZaG4ybvdmAw==",NA
