"uid","namedLocation","domainID","siteID","plotID","plotType","nlcdClass","geodeticDatum","decimalLatitude","decimalLongitude","coordinateUncertainty","elevation","elevationUncertainty","samplingProtocolVersion","collectDate","subplotID","sampleType","samplingMethod","sampleCondition","vstTag","tagID","individualID","taxonID","scientificName","plantStatus","clipCellNumber","clipID","clipLength","clipWidth","percentCoverClip","toxicodendronPossible","sampleID","sampleCode","subsample1Height","subsample2Height","subsample3Height","chlorophyllSampleID","chlorophyllSampleCode","chlorophyllSampleCondition","collectedBy","recordedBy","remarks","dataQF"
"555b1b4e-9555-4a53-9854-c12a292c6481","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","deciduousForest","WGS84",42.53831,-72.175606,20.2,359,0.27,"NEON.DOC.001024vE","2018-08-29T13:38Z","23","Woody individual","line launcher",NA,"Y","05643","NEON.PLA.D01.HARV.05643","PIAB","Picea abies (L.) Karst.","OK",NA,NA,NA,NA,NA,NA,"AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=","A00000000772",21.5,NA,NA,"AVQkM2txccdJInaV60DTclWghgJyQkIgDcoIun1GyrU=","D00000008014",NA,"jmckenna@battelleecology.org","opiscitelli@battelleecology.org",NA,NA
"2041d91c-acc7-4b4f-8324-79bad6ccc116","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","deciduousForest","WGS84",42.53831,-72.175606,20.2,359,0.27,"NEON.DOC.001024vE","2018-08-30T13:54Z","23","Woody individual","line launcher",NA,"Y","05632","NEON.PLA.D01.HARV.05632","FRAM2","Fraxinus americana L.","OK",NA,NA,NA,NA,NA,NA,"AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=","A00000000744",21.7,NA,NA,"AVQkM2txcccfnFvOIWuQJKbDLFELfXIRNtCa2mXFELszdFWftE0bvQ==","D00000007973",NA,"jmckenna@battelleecology.org","gvanscoy@field-ops.org",NA,NA
"6e57b7e4-9fa6-4fc6-9c7a-65e7a8fef3eb","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","deciduousForest","WGS84",42.53831,-72.175606,20.2,359,0.27,"NEON.DOC.001024vE","2018-08-30T14:54Z","23","Woody individual","line launcher",NA,"Y","05625","NEON.PLA.D01.HARV.05625","ACRU","Acer rubrum L.","Disease damaged",NA,NA,NA,NA,NA,NA,"AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=","A00000000773",12.4,NA,NA,"AVQkM2txccf8cJ5aHkcu56cKijO7cC4XzbVb0Q9B7Vo=","D00000008016",NA,"jmckenna@battelleecology.org","gvanscoy@field-ops.org",NA,NA
"f3fee6ed-1678-4119-908c-e51b892383b8","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","evergreenForest","WGS84",42.539971,-72.178087,20.2,366.1,0.27,"NEON.DOC.001024vE","2018-08-30T18:38Z","21","Woody individual","line launcher",NA,"Y","04566A","NEON.PLA.D01.HARV.04566A","BELE","Betula lenta L.","OK",NA,NA,NA,NA,NA,NA,"AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=","A00000000788",11.6,NA,NA,"AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+cBhS81DxCw0=","D00000007996",NA,"jmckenna@battelleecology.org","gvanscoy@field-ops.org",NA,NA
"bc730a5a-1434-45cd-b5ea-d4886d3aa348","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","evergreenForest","WGS84",42.539971,-72.178087,20.2,366.1,0.27,"NEON.DOC.001024vE","2018-08-30T19:35Z","21","Woody individual","line launcher",NA,"Y","04568","NEON.PLA.D01.HARV.04568","ACRU","Acer rubrum L.","Disease damaged",NA,NA,NA,NA,NA,NA,"AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=","A00000000745",11,NA,NA,"AVQkM2txccdkxXlfsPQ38KN4nflsRnjpLJ1UgD12bp4=","D00000007995",NA,"jmckenna@battelleecology.org","gvanscoy@field-ops.org",NA,NA
"65afde24-8ae6-45b0-97a5-7b7654836b61","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","evergreenForest","WGS84",42.539971,-72.178087,20.2,366.1,0.27,"NEON.DOC.001024vE","2018-09-04T15:09Z","21","Woody individual","line launcher",NA,"Y","4552","NEON.PLA.D01.HARV.04552","TSCA","Tsuga canadensis (L.) Carrière","Insect damaged",NA,NA,NA,NA,NA,NA,"AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786",11.6,NA,NA,"AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBQ/08Rszc8CI=","D00000007987",NA,"jlerner@battelleecology.org","gvanscoy@field-ops.org","Hemlock woolly adelgid",NA
"ae9df85d-8eee-4179-a82c-4d6f18e96c24","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","evergreenForest","WGS84",42.537318,-72.17932,20.2,364.6,0.29,"NEON.DOC.001024vE","2018-09-04T18:41Z","41","Woody individual","line launcher",NA,"Y","5186","NEON.PLA.D01.HARV.05186","TSCA","Tsuga canadensis (L.) Carrière","Insect damaged",NA,NA,NA,NA,NA,NA,"AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771",17.7,15.5,NA,"AVQkM2txcceLRS2ArSfV2TKAS6PImhMJEtN6joQMpC8=","D00000008015",NA,"jlerner@battelleecology.org","gvanscoy@field-ops.org","Hemlock woolly adelgid",NA
"390a4a0b-e681-48d1-99bd-9a0b58be5108","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","evergreenForest","WGS84",42.537318,-72.17932,20.2,364.6,0.29,"NEON.DOC.001024vE","2018-09-04T20:14Z","41","Woody individual","line launcher",NA,"Y","5181","NEON.PLA.D01.HARV.05181","ACRU","Acer rubrum L.","Disease damaged",NA,NA,NA,NA,NA,NA,"AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770",17.6,19.4,NA,"AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MSKVTELKWbng=","D00000007972",NA,"jlerner@battelleecology.org","gvanscoy@field-ops.org","",NA
"f5b2436a-9df6-4adc-96bd-532e78f31501","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","evergreenForest","WGS84",42.39229,-72.25461,20.2,184.3,0.33,"NEON.DOC.001024vE","2018-09-05T14:07Z","31","Woody individual","line launcher",NA,"Y","1135","NEON.PLA.D01.HARV.01135","ACSA3","Acer saccharum Marshall","OK",NA,NA,NA,NA,NA,NA,"AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768",14.8,NA,NA,"AVQkM2txccfa6Tc84ohrE3TBoxsq44q6SxAKpyu4kuAEWNSYy1wmkg==","D00000007981",NA,"jlerner@battelleecology.org","gvanscoy@field-ops.org","",NA
"8e5563e4-768a-43e4-a3b6-93f849309307","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","evergreenForest","WGS84",42.39229,-72.25461,20.2,184.3,0.33,"NEON.DOC.001024vE","2018-09-05T14:50Z","31","Woody individual","line launcher",NA,"Y","1137","NEON.PLA.D01.HARV.01137","PIST","Pinus strobus L.","OK",NA,NA,NA,NA,NA,NA,"AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769",18.6,NA,NA,"AVQkM2txcccnUG9qT4JtDncUn6t7HQMg1dk0YYgbgMI=","D00000008011",NA,"jlerner@battelleecology.org","gvanscoy@field-ops.org","",NA
