"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","setDate","collectDate","massSampleMixtureID","cnSampleID","cnSampleCode","sampleType","co2Trapped","nitrogenPercent","carbonPercent","CNratio","cnPercentQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF"
"d899b34f-9f1d-4991-9f09-df188a9ca6ca","2017-03-30","BART_034.basePlot.ltr","D01","BART","BART_034","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART034.20161010.LVS","NEON.LTR.BART034.20161010.LVS.CN",NA,"vegetation","N",0.5,50.9,98.7,"0",NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"170d2bda-1cf9-48ee-8f3a-23c10c77fa76","2017-03-30","BART_032.basePlot.ltr","D01","BART","BART_032","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART032.20161010.LVS","NEON.LTR.BART032.20161010.LVS.CN",NA,"vegetation","N",0.5,50.6,98.4,"0",NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"45872584-4669-43a1-9b88-c6037948cc29","2017-03-30","BART_041.basePlot.ltr","D01","BART","BART_041","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART041.20161010.LVS","NEON.LTR.BART041.20161010.LVS.CN",NA,"vegetation","N",0.6,50.6,81.8,"0",NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"3408f162-97b5-4748-9b4f-db7b9294550f","2017-03-30","BART_071.basePlot.ltr","D01","BART","BART_071","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART071.20161010.LVS","NEON.LTR.BART071.20161010.LVS.CN",NA,"vegetation","N",0.5,50.9,111.4,"0",NA,2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"05027c3c-808b-4f68-95a9-a660dc03cc34","2017-03-30","BART_071.basePlot.ltr","D01","BART","BART_071","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART071.20161010.NDL","NEON.LTR.BART071.20161010.NDL.CN",NA,"vegetation","N",0.4,52.7,118.1,"0",NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"cc29ada3-e447-48f4-bc64-6f0b57ed793c","2017-03-30","BART_071.basePlot.ltr","D01","BART","BART_071","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART071.20161010.LVS","NEON.LTR.BART071.20161010.LVS.CN",NA,"vegetation","N",0.4,50.8,113.8,"0",NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"caa84e53-57fb-4973-8b1b-39bd8ebbdf02","2017-03-31","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART073.20161010.NDL","NEON.LTR.BART073.20161010.NDL.CN",NA,"vegetation","N",0.5,51.7,108.4,"0",NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"f0881b3f-ed6f-479a-9838-be31ddc885b9","2017-03-30","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART073.20161010.LVS","NEON.LTR.BART073.20161010.LVS.CN",NA,"vegetation","N",0.4,50.3,116.9,"0",NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"f863c59f-effb-48db-bd50-e55fe156c072","2017-03-30","BART_032.basePlot.ltr","D01","BART","BART_032","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART032.20161010.NDL","NEON.LTR.BART032.20161010.NDL.CN",NA,"vegetation","N",0.5,53,102.7,"0",NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"63a7c677-c430-430c-9876-d6e5abedcf7b","2017-03-30","BART_039.basePlot.ltr","D01","BART","BART_039","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART039.20161010.LVS","NEON.LTR.BART039.20161010.LVS.CN",NA,"vegetation","N",0.5,50.4,97.3,"0",NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
