"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","setDate","collectDate","massSampleMixtureID","ligninSampleID","ligninSampleBarcode","analyticalRepNumber","dryMass","ligninPercent","cellulosePercent","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"f7bc8f34-4134-4674-b83c-3d0e9698733d","2017-08-30","BART_032.basePlot.ltr","D01","BART","BART_032","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART032.20161010.LVS","NEON.LTR.BART032.20161010.LVS.LIG",NA,1,0.479,16.84,18.75,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"55e358e6-b56c-486d-b7c4-9c7bbe08a955","2017-08-30","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART073.20161010.NDL","NEON.LTR.BART073.20161010.NDL.LIG",NA,1,0.449,14.21,20.25,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"62e9b561-21e1-4ba2-80c4-49f1b5b9f754","2017-08-30","BART_033.basePlot.ltr","D01","BART","BART_033","tower","2016-09-19T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.LIG",NA,2,0.473,16.91,20.79,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"640ef978-8a8b-4e3b-b17a-3099168baf91","2017-08-30","BART_033.basePlot.ltr","D01","BART","BART_033","tower","2016-09-19T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.LIG",NA,1,0.468,16.86,20.29,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"9a134e8e-d727-4c41-9a29-e4af6b1b9111","2017-08-30","BART_075.basePlot.ltr","D01","BART","BART_075","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART075.20161011.NDL","NEON.LTR.BART075.20161011.NDL.LIG",NA,1,0.477,13.59,19.34,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"662e986f-f191-4bdb-8747-e04f29cbd484","2017-08-30","BART_044.basePlot.ltr","D01","BART","BART_044","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART044.20161011.LVS","NEON.LTR.BART044.20161011.LVS.LIG",NA,1,0.468,19.19,20.83,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"d3a483e0-d4e8-4e1d-bd5e-55e7e660df19","2017-08-30","BART_072.basePlot.ltr","D01","BART","BART_072","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART072.20161011.NDL","NEON.LTR.BART072.20161011.NDL.LIG",NA,1,0.474,12.96,19.54,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"4383eee7-0bf5-4807-a17e-91b6cac7a10d","2017-08-30","BART_075.basePlot.ltr","D01","BART","BART_075","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART075.20161011.LVS","NEON.LTR.BART075.20161011.LVS.LIG",NA,1,0.478,16.27,22.07,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"06677afa-e3a5-41f8-8254-4cc0ba58ffb5","2017-08-30","BART_042.basePlot.ltr","D01","BART","BART_042","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART042.20161011.NDL","NEON.LTR.BART042.20161011.NDL.LIG",NA,1,0.467,18.76,22.12,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"10f2d8de-9a00-4b27-b0b9-872b432dd4c0","2018-12-17","HARV_038.basePlot.ltr","D01","HARV","HARV_038","tower","2018-10-01T16:00Z","2018-10-15T16:00Z","NEON.LTR.HARV038.20181015.LVS","NEON.LTR.HARV038.20181015.LVS.LIG","A00000032777",1,0.534,22.34,18.19,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
