"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","processingDate","massSampleIDList","massSampleMixtureID","cnSampleID","cnSampleCode","ligninSampleID","ligninSampleBarcode","archiveSampleID","archiveSampleBarcode","toxicodendronPossible","remarks","processedBy"
"20652983-fd48-4aac-b9d0-6a56ee153f98","BART_032.basePlot.ltr","D01","BART","BART_032","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART032293.20161010.NDL","NEON.LTR.BART032.20161010.NDL","NEON.LTR.BART032.20161010.NDL.CN",NA,"NEON.LTR.BART032.20161010.NDL.LIG",NA,"NEON.LTR.BART032.20161010.NDL.AR",NA,NA,NA,"mday@field-ops.org"
"102fce9c-f46a-4933-96eb-0c117fb98793","BART_034.basePlot.ltr","D01","BART","BART_034","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART034531.20161010.LVS|NEON.LTR.BART034451.20161010.LVS","NEON.LTR.BART034.20161010.LVS","NEON.LTR.BART034.20161010.LVS.CN",NA,"NEON.LTR.BART034.20161010.LVS.LIG",NA,"NEON.LTR.BART034.20161010.LVS.AR",NA,NA,NA,"mday@field-ops.org"
"5f70568d-d4e0-4a3e-86a2-bb4afc7901a0","BART_032.basePlot.ltr","D01","BART","BART_032","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART032293.20161010.LVS","NEON.LTR.BART032.20161010.LVS","NEON.LTR.BART032.20161010.LVS.CN",NA,"NEON.LTR.BART032.20161010.LVS.LIG",NA,"NEON.LTR.BART032.20161010.LVS.AR",NA,NA,NA,"mday@field-ops.org"
"235bcae0-1ab1-43d7-b800-0dce1eb8eba3","BART_039.basePlot.ltr","D01","BART","BART_039","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART039930.20161010.LVS","NEON.LTR.BART039.20161010.LVS","NEON.LTR.BART039.20161010.LVS.CN",NA,"NEON.LTR.BART039.20161010.LVS.LIG",NA,"NEON.LTR.BART039.20161010.LVS.AR",NA,NA,NA,"mday@field-ops.org"
"0b381c5f-a423-4672-8d9d-3c2c254a31b0","BART_041.basePlot.ltr","D01","BART","BART_041","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART041292.20161010.LVS","NEON.LTR.BART041.20161010.LVS","NEON.LTR.BART041.20161010.LVS.CN",NA,"NEON.LTR.BART041.20161010.LVS.LIG",NA,"NEON.LTR.BART041.20161010.LVS.AR",NA,NA,NA,"mday@field-ops.org"
"784b8df8-974d-432d-abb0-35935b6b61bf","BART_073.basePlot.ltr","D01","BART","BART_073","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART073409.20161010.LVS|NEON.LTR.BART073539.20161010.LVS","NEON.LTR.BART073.20161010.LVS","NEON.LTR.BART073.20161010.LVS.CN",NA,"NEON.LTR.BART073.20161010.LVS.LIG",NA,"NEON.LTR.BART073.20161010.LVS.AR",NA,NA,NA,"mday@field-ops.org"
"bc547a82-ec08-4730-9e2c-1c3ec5000587","BART_071.basePlot.ltr","D01","BART","BART_071","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART071382.20161010.LVS|NEON.LTR.BART071952.20161010.LVS","NEON.LTR.BART071.20161010.LVS","NEON.LTR.BART071.20161010.LVS.CN",NA,"NEON.LTR.BART071.20161010.LVS.LIG",NA,"NEON.LTR.BART071.20161010.LVS.AR",NA,NA,NA,"mday@field-ops.org"
"466677a7-82c6-4048-b52d-bc59d363f9b0","BART_071.basePlot.ltr","D01","BART","BART_071","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART071952.20161010.NDL|NEON.LTR.BART071382.20161010.NDL","NEON.LTR.BART071.20161010.NDL","NEON.LTR.BART071.20161010.NDL.CN",NA,"NEON.LTR.BART071.20161010.NDL.LIG",NA,"NEON.LTR.BART071.20161010.NDL.AR",NA,NA,NA,"mday@field-ops.org"
"a76a6f7d-b099-4b88-9640-62b51256a1c6","BART_041.basePlot.ltr","D01","BART","BART_041","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART041292.20161010.NDL","NEON.LTR.BART041.20161010.NDL","NEON.LTR.BART041.20161010.NDL.CN",NA,"NEON.LTR.BART041.20161010.NDL.LIG",NA,"NEON.LTR.BART041.20161010.NDL.AR",NA,NA,NA,"mday@field-ops.org"
"2cebc0e7-46f4-43e4-8d48-155f87fd4303","BART_073.basePlot.ltr","D01","BART","BART_073","2016-09-19","2016-10-10","2016-11-17","NEON.LTR.BART073409.20161010.NDL|NEON.LTR.BART073539.20161010.NDL","NEON.LTR.BART073.20161010.NDL","NEON.LTR.BART073.20161010.NDL.CN",NA,"NEON.LTR.BART073.20161010.NDL.LIG",NA,"NEON.LTR.BART073.20161010.NDL.AR",NA,NA,NA,"mday@field-ops.org"
