"uid","namedLocation","domainID","siteID","plotID","nrcsDescriptionID","collectDate","horizonID","horizonName","bulkDensProcessedDate","bulkDensMethodPub","bulkDensMethod","bulkDensIDnrcs","bulkDensSampleType","bulkDensCenterDepth","bulkDensTopDepth","bulkDensBottomDepth","bulkDensThirdBar","bulkDensOvenDry","bulkDensFieldMoist","waterRetentionThirdBar","fieldWaterContent","laboratoryName","remarks","dataQF"
"ca868e8c-6366-4a35-9cf9-671e65d4977f","BART_018.basePlot.all","D01","BART","BART_018","S2016NH003001","2016-05-11","16N04933","Oa","2016-11-01","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)","S2016NH003001-1","compliant cavity",6.5,0,13,NA,NA,0.11,NA,334.5,"USDA NRCS Kellogg Soil Survey Laboratory","",NA
"67270ecd-1381-4bb4-b050-5d1c6df0c80c","BART_018.basePlot.all","D01","BART","BART_018","S2016NH003001","2016-05-11","16N04937","Cd","2018-05-31","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)","S2016NH003001-5","clod",74.5,49,100,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory","Sample could not be analyzed.",NA
"d3f3edff-4577-4cb5-b737-8eb45ec423ad","BART_018.basePlot.all","D01","BART","BART_018","S2016NH003001","2016-05-11","16N04934","E/B","2017-06-21","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)","S2016NH003001-2","clod",18,13,23,0.99,1.03,NA,27.4,NA,"USDA NRCS Kellogg Soil Survey Laboratory","",NA
"7ecc8786-58cc-4268-9128-9d09df880eb3","BART_018.basePlot.all","D01","BART","BART_018","S2016NH003001","2016-05-11","16N04935","Bs1","2017-06-21","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)","S2016NH003001-3","clod",28,23,33,0.93,0.95,NA,30.8,NA,"USDA NRCS Kellogg Soil Survey Laboratory","",NA
"efad0e66-d944-476c-b842-8d1659046869","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04942","BC1","2018-05-31","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)","S2016NH003002-5","clod",40.5,27,54,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory","Sample could not be analyzed.",NA
"3d430828-13bb-4174-aa6e-0af584940a0a","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04939","E","2016-11-01","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)","S2016NH003002-2","compliant cavity",11,9,13,NA,NA,0.68,NA,28.2,"USDA NRCS Kellogg Soil Survey Laboratory","",NA
"59dfa444-415b-4fb2-9996-afee26a9f1fb","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04941","Bs","2016-11-01","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)","S2016NH003002-4","compliant cavity",22.5,18,27,NA,NA,0.84,NA,23.2,"USDA NRCS Kellogg Soil Survey Laboratory","",NA
"4a1f0b32-a4c4-4afb-a421-2f8078796e17","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04938","Oa","2016-11-01","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)","S2016NH003002-1","compliant cavity",4.5,0,9,NA,NA,0.15,NA,241.2,"USDA NRCS Kellogg Soil Survey Laboratory","",NA
"329b46db-addf-40e1-8750-5cd8ea4948a5","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04943","BC2","2017-06-21","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)","S2016NH003002-6","clod",77,54,100,1.46,1.48,NA,14,NA,"USDA NRCS Kellogg Soil Survey Laboratory","",NA
"a0d0acfe-fbb8-437b-9c25-ac0cc06b091a","BART_012.basePlot.all","D01","BART","BART_012","S2016NH003003","2016-05-19","16N04946","Bw1","2017-06-21","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)","S2016NH003003-3","clod",18,7,29,1.57,1.58,NA,15.7,NA,"USDA NRCS Kellogg Soil Survey Laboratory","",NA
