"uid","namedLocation","domainID","siteID","plotID","nrcsDescriptionID","collectDate","horizonID","horizonName","biogeoIDnrcs","biogeoSampleType","biogeoTopDepth","biogeoBottomDepth","biogeoCenterDepth","particleSizeDistProcessedDate","particleSizeDistMethodPub","particleSizeDistMethod","coarseFrag2To5","coarseFrag5To20","sandTotal","siltTotal","clayTotal","carbonateClay","clayFineContent","siltFineContent","siltCoarseContent","sandVeryFineContent","sandFineContent","sandMediumContent","sandCoarseContent","laboratoryName","dataQF"
"a3c1f18a-ea7a-41c3-8477-4af0acffa511","BART_018.basePlot.all","D01","BART","BART_018","S2016NH003001","2016-05-11","16N04937","Cd","S2016NH003001-5","bulk",49,100,74.5,"2017-01-10","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine Particle Size Distribution (3A1a1a)",78.3,110.1,69.5,30,0.5,NA,NA,11.9,18.1,20.4,19.2,11.4,10.3,"USDA NRCS Kellogg Soil Survey Laboratory",NA
"aff8d070-50e6-4ce0-ace5-c2c67f801662","BART_018.basePlot.all","D01","BART","BART_018","S2016NH003001","2016-05-11","16N04936","Bs2","S2016NH003001-4","bulk",33,49,41,"2017-01-10","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine Particle Size Distribution (3A1a1a)",71.9,134.1,55.3,42.3,2.4,NA,NA,17.6,24.7,22.7,15,8.6,3.6,"USDA NRCS Kellogg Soil Survey Laboratory",NA
"fedbb646-6379-47b7-8c46-d3c828a6c0b4","BART_018.basePlot.all","D01","BART","BART_018","S2016NH003001","2016-05-11","16N04933","Oa","S2016NH003001-1","bulk",0,13,6.5,"","","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory",NA
"a98ad0e1-0b68-4805-a838-e6770d6ee2e7","BART_018.basePlot.all","D01","BART","BART_018","S2016NH003001","2016-05-11","16N04934","E/B","S2016NH003001-2","bulk",13,23,18,"2017-01-10","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine Particle Size Distribution (3A1a1a)",70.9,110.3,64,32.9,3.1,NA,NA,14.1,18.8,22.1,17.6,9.1,8.4,"USDA NRCS Kellogg Soil Survey Laboratory",NA
"e0c3b598-bb1b-48a9-908b-fcf96a9023d0","BART_018.basePlot.all","D01","BART","BART_018","S2016NH003001","2016-05-11","16N04935","Bs1","S2016NH003001-3","bulk",23,33,28,"2017-01-10","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine Particle Size Distribution (3A1a1a)",81.1,117.9,59.6,37.2,3.2,NA,NA,15.5,21.7,21.3,18.3,7.3,7.2,"USDA NRCS Kellogg Soil Survey Laboratory",NA
"abce9539-ba54-4ae8-b801-bd20d41241dc","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04941","Bs","S2016NH003002-4","bulk",18,27,22.5,"2017-01-10","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine Particle Size Distribution (3A1a1a)",134.8,135.7,67.5,29.6,2.9,NA,NA,13.1,16.5,16.1,15.9,13,13,"USDA NRCS Kellogg Soil Survey Laboratory",NA
"d1c1a52d-177b-4018-8a17-b37e249b60cd","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04940","Bhs","S2016NH003002-3","bulk",13,18,15.5,"2017-01-10","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine Particle Size Distribution (3A1a1a)",128.8,189.6,71.2,24.4,4.4,NA,NA,11.9,12.5,12.9,14.1,12.9,17.4,"USDA NRCS Kellogg Soil Survey Laboratory",NA
"19f09a6c-7646-4848-9313-d42f38d984e4","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04943","BC2","S2016NH003002-6","bulk",54,100,77,"2017-01-10","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine Particle Size Distribution (3A1a1a)",129.4,94.1,63.5,35,1.5,NA,NA,14.8,20.2,17,15.8,14.6,10,"USDA NRCS Kellogg Soil Survey Laboratory",NA
"8e38b46a-74c9-4641-99ad-9d6fe479acb2","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04942","BC1","S2016NH003002-5","bulk",27,54,40.5,"2017-01-10","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine Particle Size Distribution (3A1a1a)",123.7,91.4,65.8,32.3,1.9,NA,NA,13.8,18.5,12.6,18.3,12.8,13,"USDA NRCS Kellogg Soil Survey Laboratory",NA
"c73519c7-fe2c-412a-b1da-aed532752faf","BART_081.basePlot.all","D01","BART","BART_081","S2016NH003002","2016-05-17","16N04939","E","S2016NH003002-2","bulk",9,13,11,"2017-01-10","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine Particle Size Distribution (3A1a1a)",144.2,201.1,66.9,30.5,2.6,NA,NA,14.9,15.6,17,15.7,14.7,8.9,"USDA NRCS Kellogg Soil Survey Laboratory",NA
