"uid","namedLocation","domainID","siteID","plotID","pitID","collectDate","testProtocolVersion","nrcsDescriptionID","horizonID","horizonName","horizonTopDepth","horizonBottomDepth","remarks","dataQF"
"22e48ff3-1ddc-4e04-aa21-d71a4ad97dd0","BART_018.basePlot.all","D01","BART","BART_018","1091219","2016-05-11","Field Book for Describing and Sampling Soils ver3","S2016NH003001","16N04936","Bs2",33,49,"includes some buried O horizon",NA
"b992a727-fc10-4c25-aef9-78294ae6e94b","BART_018.basePlot.all","D01","BART","BART_018","1091219","2016-05-11","Field Book for Describing and Sampling Soils ver3","S2016NH003001","16N04934","E/B",13,23,"",NA
"aaa93614-da30-48a2-b5fc-14f8707667da","BART_018.basePlot.all","D01","BART","BART_018","1091219","2016-05-11","Field Book for Describing and Sampling Soils ver3","S2016NH003001","16N04935","Bs1",23,33,"",NA
"10d8d303-f912-44b6-a286-1bffe21364e9","BART_018.basePlot.all","D01","BART","BART_018","1091219","2016-05-11","Field Book for Describing and Sampling Soils ver3","S2016NH003001","16N04937","Cd",49,100,"",NA
"41812389-f874-4d83-8cf0-827dd3b07ad8","BART_018.basePlot.all","D01","BART","BART_018","1091219","2016-05-11","Field Book for Describing and Sampling Soils ver3","S2016NH003001","16N04933","Oa",0,13,"",NA
"60de94e1-32c1-453a-9d00-21953d9de52b","BART_081.basePlot.all","D01","BART","BART_081","1091221","2016-05-17","Field Book for Describing and Sampling Soils ver3","S2016NH003002","16N04940","Bhs",13,18,"5% cemented",NA
"fe6969e7-ffff-447c-8947-cdc8c94306e2","BART_081.basePlot.all","D01","BART","BART_081","1091221","2016-05-17","Field Book for Describing and Sampling Soils ver3","S2016NH003002","16N04941","Bs",18,27,"",NA
"bcc575f6-768e-4f2f-8c3f-6f2f4cc8eec3","BART_081.basePlot.all","D01","BART","BART_081","1091221","2016-05-17","Field Book for Describing and Sampling Soils ver3","S2016NH003002","16N04938","Oa",0,9,"",NA
"40c88d4d-f128-4ee5-b5b4-afcb281b0331","BART_081.basePlot.all","D01","BART","BART_081","1091221","2016-05-17","Field Book for Describing and Sampling Soils ver3","S2016NH003002","16N04943","BC2",54,100,"at 100 cm there is a large root mass",NA
"477054ad-adcd-4032-bd48-b6a08044aae2","BART_081.basePlot.all","D01","BART","BART_081","1091221","2016-05-17","Field Book for Describing and Sampling Soils ver3","S2016NH003002","16N04939","E",9,13,"",NA
"09a47fd2-f3e7-4967-88a2-8fa9d78c7acc","BART_081.basePlot.all","D01","BART","BART_081","1091221","2016-05-17","Field Book for Describing and Sampling Soils ver3","S2016NH003002","16N04942","BC1",27,54,"",NA
"e6bff38b-3dc0-4e49-b85f-dc9a81f6f48c","BART_012.basePlot.all","D01","BART","BART_012","1091222","2016-05-19","Field Book for Describing and Sampling Soils ver3","S2016NH003003","16N04947","Bw2",29,52,"",NA
