"uid","domainID","siteID","plotID","namedLocation","plotType","nlcdClass","geodeticDatum","decimalLatitude","decimalLongitude","coordinateUncertainty","elevation","elevationUncertainty","collectDate","referenceCorner","sampleDistance","sampleBearing","pitID","testProtocolVersion","soilSamplingMethod","sampleRelativeLocation","pitDepth","recordedByA","soilProfileDescriberA","soilProfileDescriberInst","nrcsDescriptionID","soilSeries","soilFamily","soilSubgroup","soilGreatGroup","soilSuborder","soilOrder","remarks","dataQF"
"cf5d6651-83d5-403f-baa8-760fabd9bc0b","D01","BART","BART_018","BART_018.basePlot.all","distributed","mixedForest","WGS84",44.058474,-71.277857,20.2,315.5,0.4,"2016-05-11","NW40",0.7,140,"1091219","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003001","Wilmington","Loamy, isotic, frigid, shallow Typic Endoaquods","typic endoaquods","endoaquods","aquods","spodosols","pit;BART;20160511;BART_018;Roger DeKett Jessica Philippe Martha Stuart;7.2;140;40x40 NW marker;center of pit",NA
"a27dac19-b834-4a53-9188-c2454c2eb332","D01","BART","BART_081","BART_081.basePlot.all","distributed","mixedForest","WGS84",44.06068,-71.262946,20.2,411.3,0.3,"2016-05-17","SW40",1.7,43,"1091221","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003002","Adirondack","Coarse-loamy, isotic, frigid Aquic Haplorthods","aquic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160517;BART_081;Roger DeKett Martha Stuart;17.1;043;40x40 SW marker;center of pit",NA
"a2bc8af6-482f-47a5-924d-f946d779a87e","D01","BART","BART_012","BART_012.basePlot.all","distributed","deciduousForest","WGS84",44.046089,-71.316317,20.3,558.9,0.4,"2016-05-19","NW40",1.1,115,"1091222","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003003","Danforth","Loamy-skeletal, mixed, active, frigid Typic Dystrudepts","typic dystrudepts","dystrudepts","udepts","inceptisols","pit;BART;20160519;BART_012;Roger DeKett Martha Stuart;11.0;115;40x40 NW marker;center of pit",NA
"b3f4459b-1498-4817-98f3-f7c9d105c5e5","D01","BART","BART_062","BART_062.basePlot.all","distributed","deciduousForest","WGS84",44.057361,-71.305891,20.3,391.8,0.3,"2016-05-23","SW20",0.9,284,"1091223","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"khnyfeTHrVrnoE60k+Xq+OCoadk+UCyh","khnyfeTHrVrnoE60k+Xq+OCoadk+UCyh","Natural Resource Conservation Service","S2016NH003004","Monadnock or Berkshire","Frigid Typic Haplorthods","typic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160523;BART_062;Jessica Philippe Martha Stuart;9.2;284;20x20 SW marker;center of pit",NA
"99f0c5a7-d360-4cdc-a330-b00f80118fbd","D01","BART","BART_027","BART_027.basePlot.all","distributed","evergreenForest","WGS84",44.057947,-71.261745,20.3,427.2,0.3,"2016-05-31","SW40",1.3,10,"1091224","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003005","Danforth","Loamy-skeletal, isotic, frigid Typic Haplorthods","typic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160531;BART_027;Roger DeKett Jessica Philippe Martha Stuart;12.7;010;40x40 SW marker;center of pit",NA
"61566b4d-2005-444c-b0fb-3f1d5b9b9505","D01","BART","BART_030","BART_030.basePlot.all","distributed","evergreenForest","WGS84",44.053794,-71.308072,20.3,501.3,0.3,"2016-06-02","SW40",1.7,75,"1091225","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003006","Danforth","Coarse-loamy over sandy or sandy-skeletal, isotic over mixed, frigid Typic Haplorthods","typic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160602;BART_030;Roger DeKett Martha Stuart;17.3;075;40x40 SW marker;center of pit",NA
"1fc3707e-f2b5-48d5-b5b9-500a0a3abf46","D01","BART","BART_019","BART_019.basePlot.all","distributed","mixedForest","WGS84",44.069363,-71.286142,20.2,243.2,0.3,"2016-06-07","SW40",1.4,126,"1091226","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003007","Monadnock","Coarse-loamy over sandy or sandy-skeletal, isotic over mixed, frigid Typic Haplorthods","typic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160607;BART_019;Roger DeKett Martha Stuart;14.2;126;center of plot;center of pit",NA
"6d785340-232d-4972-8ea4-3467d5c7cab4","D01","BART","BART_023","BART_023.basePlot.all","distributed","evergreenForest","WGS84",44.049319,-71.263643,20.2,503,0.5,"2016-06-10","SW20",1.2,104,"1091227","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",200,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003008","Rawsonville","Coarse-loamy, isotic, frigid Typic Haplohumods","typic haplohumods","haplohumods","humods","spodosols","pit;BART;20160610;BART_023;Roger DeKett Jessica Philippe Martha Stuart;11.5;104;20x20 SW marker;center of pit",NA
"fc4f87a2-d9dd-42c1-87a8-4b955fdb2b0c","D01","BART","BART_024","BART_024.basePlot.all","distributed","evergreenForest","WGS84",44.052777,-71.263782,20.2,434.4,0.3,"2016-06-14","NE20",0.6,55,"1091228","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",200,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003009","Knob Lock","Dysic, frigid Lithic Udifolists","lithic udifolists","udifolists","folists","histosols","pit;BART;20160614;BART_024;Roger DeKett Martha Stuart;6.1;055;20x20 NE marker;center of pit",NA
"32b92f28-2c61-4a44-8ed6-4d08364f26ce","D01","BART","BART_015","BART_015.basePlot.all","distributed","mixedForest","WGS84",44.042903,-71.273126,20.2,439.2,0.2,"2016-06-16","NE40",1.8,197,"1091229","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003010","Marlow","Coarse-loamy, isotic, frigid Oxyaquic Haplorthods","oxyaquic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160616;BART_015;Roger DeKett Martha Stuart;18.4;197;40x40 NE marker;center of pit",NA
"dd83304b-cdbb-449a-9c08-cbd9648b4248","D01","BART","BART_010","BART_010.basePlot.all","distributed","deciduousForest","WGS84",44.050073,-71.26668,20.1,430.2,0.2,"2016-06-20","SW20",0.5,120,"1091230","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003011","Marlow","Loamy-skeletal, isotic, frigid Oxyaquic Haplorthods","oxyaquic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160620;BART_010;Roger DeKett Martha Stuart;5.4;120;20x20 SW marker;center of pit",NA
"7db60f23-f9f5-4152-91e2-f9acf2c7ab00","D01","BART","BART_005","BART_005.basePlot.all","distributed","mixedForest","WGS84",44.05462,-71.282199,20.2,304.9,0.3,"2016-06-21","SW20",1,340,"1091231","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003012","Series Not determined","Loamy-skeletal over sandy or sandy-skeletal, isotic over mixed, frigid Histic Endoaquods","histic endoaquods","endoaquods","aquods","spodosols","pit;BART;20160621;BART_005;Roger DeKett Martha Stuart;10.2;340;20x20 SW marker;center of pit",NA
"1e5f3ac9-dcf1-4264-b902-e6c8a590aa41","D01","BART","BART_004","BART_004.basePlot.all","distributed","mixedForest","WGS84",44.041571,-71.28692,20.2,526.4,0.3,"2016-06-22","SW20",1.1,333,"1091232","Field Book for Describing and Sampling Soils ver3","soil pit","Center of pit",100,"ZMAzjxpsatlP5Z3MpTDKhQ==","ZMAzjxpsatlP5Z3MpTDKhQ==","Natural Resource Conservation Service","S2016NH003013","Marlow","Coarse-loamy, isotic, frigid Oxyaquic Haplorthods","oxyaquic haplorthods","haplorthods","orthods","spodosols","pit;BART;20160622;BART_004;Roger DeKett Jessica Philippe Martha Stuart;10.6;333;20x20 SW marker;center of pit",NA
