table,fieldName,description,dataType,units,downloadPkg
spc_particlesize,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
spc_particlesize,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
spc_particlesize,domainID,"Unique identifier of the NEON domain",string,NA,basic
spc_particlesize,siteID,"NEON site code",string,NA,basic
spc_particlesize,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
spc_particlesize,nrcsDescriptionID,"NRCS identifier assigned to the soil profile description",string,NA,basic
spc_particlesize,collectDate,"Date of the collection event",dateTime,NA,basic
spc_particlesize,horizonID,"An identifier for the soil horizon",string,NA,basic
spc_particlesize,horizonName,"Soil horizon name",string,NA,basic
spc_particlesize,biogeoIDnrcs,"Identifier used by NRCS for the biogeochemistry sample",string,NA,basic
spc_particlesize,biogeoSampleType,"Type of biogeochemistry sample",string,NA,basic
spc_particlesize,biogeoTopDepth,"Top depth of the biogeochemistry sample",real,centimeter,basic
spc_particlesize,biogeoBottomDepth,"Bottom depth of the biogeochemistry sample",real,centimeter,basic
spc_particlesize,biogeoCenterDepth,"Depth of the center of the biogeochemistry sample",real,centimeter,basic
spc_particlesize,particleSizeDistProcessedDate,"Date of processing sample for particle size distribution analysis",dateTime,NA,basic
spc_particlesize,particleSizeDistMethodPub,"Citation for publication describing the methods used for particle size distribution analysis",string,NA,basic
spc_particlesize,particleSizeDistMethod,"Methods used for particle size distribution analysis",string,NA,basic
spc_particlesize,coarseFrag2To5,"Coarse fragment (2-5 mm) content of the <20 mm size fraction of the biogeochemistry soil sample",real,gramsPerKilogram,basic
spc_particlesize,coarseFrag5To20,"Coarse fragment (5-20 mm) content of the <20 mm size fraction of the biogeochemistry soil sample",real,gramsPerKilogram,basic
spc_particlesize,sandTotal,"Total sand (0.047-2 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,siltTotal,"Total silt (0.002-0.047 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,clayTotal,"Total clay (<0.002 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,carbonateClay,"Carbonate clay (<0.002 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,clayFineContent,"Fine clay (<0.0002 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,siltFineContent,"Fine silt (0.002-0.02 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,siltCoarseContent,"Coarse silt (0.02-0.047 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,sandVeryFineContent,"Very fine sand (0.047-0.105 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,sandFineContent,"Fine sand (0.105-0.25 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,sandMediumContent,"Medium sand (0.25-0.5 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,sandCoarseContent,"Coarse sand (0.5-1 mm) content on a weight basis of the <2 mm fraction",real,percent,basic
spc_particlesize,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,basic
spc_particlesize,dataQF,"Data quality flag",string,NA,basic
