"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","cnSampleID","cnSampleCode","sampleType","acidTreatment","nitrogenPercent","organicCPercent","CNratio","cnPercentQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","sampleCode"
"4cf22d7a-2b48-47a7-89da-97eb53db677c","2015-04-28","BART_004.basePlot.bgc","D01","BART","BART_004","distributed","2014-08-19T12:47Z","BART_004-M-3-28-20140819","BART_004-M-3-28-20140819-CN",NA,"soil","N",0.18,4.8,26.9,"0",NA,1,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"175d043e-2560-40e2-ad33-97a43aa869b8","2015-04-28","BART_004.basePlot.bgc","D01","BART","BART_004","distributed","2014-08-19T12:47Z","BART_004-O-3-28-20140819","BART_004-O-3-28-20140819-CN",NA,"soil","N",2.01,46.64,23.2,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"800777ea-8b4d-4d07-ac44-cc72743ec236","2015-04-28","BART_004.basePlot.bgc","D01","BART","BART_004","distributed","2014-08-19T12:47Z","BART_004-M-3-28-20140819","BART_004-M-3-28-20140819-CN",NA,"soil","N",0.17,4.47,25.9,"0",NA,2,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"2d90b3e9-383e-4807-9fd8-4de2d847c806","2015-04-28","BART_004.basePlot.bgc","D01","BART","BART_004","distributed","2014-08-19T13:36Z","BART_004-O-9-34-20140819","BART_004-O-9-34-20140819-CN",NA,"soil","N",1.92,40.02,20.9,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"d4b67b53-f9c9-4188-a344-6d60ccf5c66a","2015-04-28","BART_004.basePlot.bgc","D01","BART","BART_004","distributed","2014-08-19T13:36Z","BART_004-M-9-34-20140819","BART_004-M-9-34-20140819-CN",NA,"soil","N",0.11,2.69,24.2,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"95256edf-7615-499d-b8fa-032156a0b322","2015-04-28","BART_023.basePlot.bgc","D01","BART","BART_023","distributed","2014-08-19T13:51Z","BART_023-O-23-8-20140819","BART_023-O-23-8-20140819-CN",NA,"soil","N",2.23,47.67,21.4,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"5c05601e-cf82-4cbc-a769-da957a159537","2015-04-28","BART_023.basePlot.bgc","D01","BART","BART_023","distributed","2014-08-19T13:51Z","BART_023-M-23-8-20140819","BART_023-M-23-8-20140819-CN",NA,"soil","N",0.83,22.04,26.5,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"0d3656b9-8338-4f2d-9183-68b10fb22b6e","2015-04-28","BART_004.basePlot.bgc","D01","BART","BART_004","distributed","2014-08-19T14:15Z","BART_004-O-19-1-20140819","BART_004-O-19-1-20140819-CN",NA,"soil","N",1.7,45.81,27,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"da32bd9d-6f70-4c3a-b647-d6f406d884c1","2015-04-28","BART_004.basePlot.bgc","D01","BART","BART_004","distributed","2014-08-19T14:15Z","BART_004-M-19-1-20140819","BART_004-M-19-1-20140819-CN",NA,"soil","N",0.11,2.71,25.7,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"38185bc9-f292-4b3d-ab64-e7110ba568a0","2015-04-28","BART_023.basePlot.bgc","D01","BART","BART_023","distributed","2014-08-19T14:57Z","BART_023-O-31-3-20140819","BART_023-O-31-3-20140819-CN",NA,"soil","N",1.87,49.34,26.4,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"175c7ff2-a052-4f10-b8ab-4b533496cab2","2015-04-28","BART_023.basePlot.bgc","D01","BART","BART_023","distributed","2014-08-19T14:57Z","BART_023-M-31-3-20140819","BART_023-M-31-3-20140819-CN",NA,"soil","N",0.51,11.82,23,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"7af9b00e-9e63-4380-bd1b-063bcb0d80cb","2015-04-28","BART_023.basePlot.bgc","D01","BART","BART_023","distributed","2014-08-19T16:11Z","BART_023-O-19-30-20140819","BART_023-O-19-30-20140819-CN",NA,"soil","N",2.06,47.24,23,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"738c7f5e-7a81-4027-97de-a88b9d3f76c4","2015-04-28","BART_023.basePlot.bgc","D01","BART","BART_023","distributed","2014-08-19T16:11Z","BART_023-M-19-30-20140819","BART_023-M-19-30-20140819-CN",NA,"soil","N",0.87,20.46,23.5,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"7bf890d0-87ea-4386-aa6c-4ce23b36899e","2015-04-28","BART_005.basePlot.bgc","D01","BART","BART_005","distributed","2014-08-19T16:30Z","BART_005-M-33-2-20140819","BART_005-M-33-2-20140819-CN",NA,"soil","N",0.23,7.14,31.1,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
