"uid","namedLocation","domainID","siteID","plotID","collectDate","sampleID","sampleCode","kclSampleID","kclSampleCode","sampleCondition","ammoniumNAnalysisDate","kclAmmoniumNConc","ammoniumNRepNum","ammoniumNQF","ammoniumNRemarks","nitrateNitriteNAnalysisDate","kclNitrateNitriteNConc","nitrateNitriteNRepNum","nitrateNitriteNQF","nitrateNitriteNRemarks","laboratoryName","ammoniumNMethod","ammoniumNInstrument","ammoniumNAnalyzedBy","ammoniumNReviewedBy","nitrateNitriteNMethod","nitrateNitriteNInstrument","nitrateNitriteNAnalyzedBy","nitrateNitriteNReviewedBy","dataQF"
"329b8ae1-3c15-4098-9713-39511acfb160","HARV_002.basePlot.bgc","D01","HARV","HARV_002","2018-04-17T14:09Z","HARV_002-M-9.5-1.5-20180417","A00000001239","HARV_002-M-9.5-1.5-20180417-KCL","B00000006284","ok","2019-02-01",0.12,1,"0",NA,"2019-02-04",0.076,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"6c562de1-e5a1-449c-b462-dc283fd47e4d","HARV_002.basePlot.bgc","D01","HARV","HARV_002","2018-04-17T14:55Z","HARV_002-M-34.5-24-20180417","A00000001238","HARV_002-M-34.5-24-20180417-KCL","B00000006271","ok","2019-02-01",0.133,1,"0",NA,"2019-02-04",0.08,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"93d71270-d682-45e3-9d3a-83045447b3a7","HARV_002.basePlot.bgc","D01","HARV","HARV_002","2018-04-17T14:55Z","HARV_002-O-34.5-24-20180417","A00000001236","HARV_002-O-34.5-24-20180417-KCL","B00000006269","ok","2019-02-01",0.801,1,"0",NA,"2019-02-04",0.067,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"a731e5c4-7a30-4093-ae70-de1ea62fe731","HARV_002.basePlot.bgc","D01","HARV","HARV_002","2018-04-17T15:07Z","HARV_002-M-28.5-1.5-20180417","A00000001237","HARV_002-M-28.5-1.5-20180417-KCL","B00000006287","ok","2019-02-01",0.167,1,"0",NA,"2019-02-04",0.076,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"2d0b8231-6aa3-4dc0-8bfd-98257ddd7c9e","HARV_002.basePlot.bgc","D01","HARV","HARV_002","2018-04-17T15:07Z","HARV_002-O-28.5-1.5-20180417","A00000001234","HARV_002-O-28.5-1.5-20180417-KCL","B00000006278","ok","2019-02-01",1.488,1,"0",NA,"2019-02-04",0.076,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"21d2cc70-b478-43bd-b34d-c82fe20bc550","HARV_005.basePlot.bgc","D01","HARV","HARV_005","2018-04-17T16:36Z","HARV_005-O-12.5-38-20180417","A00000001247","HARV_005-O-12.5-38-20180417-KCL","B00000006321","ok","2019-02-01",0.252,1,"0",NA,"2019-02-04",0.054,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"f46099bf-964b-450b-842d-656e2d710346","HARV_005.basePlot.bgc","D01","HARV","HARV_005","2018-04-17T17:09Z","HARV_005-M-12.5-38-20180417","A00000001242","HARV_005-M-12.5-38-20180417-KCL","B00000006272","ok","2019-02-01",0.119,1,"0",NA,"2019-02-04",0.069,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"97c2129d-96df-4a2b-a3b8-5fe97ee5b20c","HARV_021.basePlot.bgc","D01","HARV","HARV_021","2018-04-17T17:16Z","HARV_021-O-1-22.5-20180417","A00000001283","HARV_021-O-1-22.5-20180417-KCL","B00000006291","ok","2019-01-30",0.269,1,"0",NA,"2019-02-04",0.062,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"6eb154a9-9996-46cd-9063-30f126c20ba9","HARV_005.basePlot.bgc","D01","HARV","HARV_005","2018-04-17T17:24Z","HARV_005-O-36-21-20180417","A00000001245","HARV_005-O-36-21-20180417-KCL","B00000006308","ok","2019-01-30",3.146,1,"0",NA,"2019-02-04",0.075,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"40b1d5b1-e79b-468d-b339-43d1c5686879","HARV_021.basePlot.bgc","D01","HARV","HARV_021","2018-04-17T17:26Z","HARV_021-M-1-22.5-20180417","A00000001262","HARV_021-M-1-22.5-20180417-KCL","B00000006275","ok","2019-01-30",0.146,1,"0",NA,"2019-02-04",0.093,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
