"uid","namedLocation","domainID","siteID","plotID","plotType","collectDate","samplingProtocolVersion","sampleID","sampleCode","kclSampleID","kclSampleCode","incubationPairID","nTransBoutType","incubationLength","extractionStartDate","kclReferenceID","soilFreshMass","kclVolume","extractionEndDate","sampleCondition","remarks","processedBy","recordedBy","dataQF"
"4d4700cd-04ab-485d-bb19-f9c134319d4e","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed","2018-04-17T14:09Z","NEON.DOC.014048vK","HARV_002-M-9.5-1.5-20180417","A00000001239","HARV_002-M-9.5-1.5-20180417-KCL","B00000006284","HARV_002-M-9.5-1.5","tInitial",0,"2018-04-18T15:44Z","HARV-20180418-BRef1",10.03,100,"2018-04-18T19Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
"c620aaf3-3bdf-4612-afa6-9e94f5fda33d","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed","2018-04-17T14:55Z","NEON.DOC.014048vK","HARV_002-O-34.5-24-20180417","A00000001236","HARV_002-O-34.5-24-20180417-KCL","B00000006269","HARV_002-O-34.5-24","tInitial",0,"2018-04-18T16:27Z","HARV-20180418-BRef1",10.08,100,"2018-04-18T19Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
"d7f7c693-747f-470d-b8a2-75d1fc2d9925","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed","2018-04-17T14:55Z","NEON.DOC.014048vK","HARV_002-M-34.5-24-20180417","A00000001238","HARV_002-M-34.5-24-20180417-KCL","B00000006271","HARV_002-M-34.5-24","tInitial",0,"2018-04-18T16:50Z","HARV-20180418-BRef1",10.11,100.1,"2018-04-18T19Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
"c2804b27-b8e4-4ad7-81f6-9dbe9e0852be","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed","2018-04-17T15:07Z","NEON.DOC.014048vK","HARV_002-M-28.5-1.5-20180417","A00000001237","HARV_002-M-28.5-1.5-20180417-KCL","B00000006287","HARV_002-M-28.5-1.5","tInitial",0,"2018-04-18T15:52Z","HARV-20180418-BRef1",10.04,100,"2018-04-18T19Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
"221f5211-13c6-4480-9c5a-5fd9cc79b2fb","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed","2018-04-17T15:07Z","NEON.DOC.014048vK","HARV_002-O-28.5-1.5-20180417","A00000001234","HARV_002-O-28.5-1.5-20180417-KCL","B00000006278","HARV_002-O-28.5-1.5","tInitial",0,"2018-04-18T16:10Z","HARV-20180418-BRef1",9.93,100,"2018-04-18T19Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
"b1fb13a8-e53b-470d-8c75-7fa0725eba8f","HARV_005.basePlot.bgc","D01","HARV","HARV_005","distributed","2018-04-17T16:36Z","NEON.DOC.014048vK","HARV_005-O-12.5-38-20180417","A00000001247","HARV_005-O-12.5-38-20180417-KCL","B00000006321","","tInitial",0,"2018-04-18T16:30Z","HARV-20180418-BRef1",10.07,100,"2018-04-18T18Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
"d5386b6c-7c4d-419c-b61c-efe207d7c00c","HARV_005.basePlot.bgc","D01","HARV","HARV_005","distributed","2018-04-17T17:09Z","NEON.DOC.014048vK","HARV_005-M-12.5-38-20180417","A00000001242","HARV_005-M-12.5-38-20180417-KCL","B00000006272","","tInitial",0,"2018-04-18T16:00Z","HARV-20180418-BRef1",10.09,100,"2018-04-18T19Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
"77ff7959-b10b-48ad-84c3-c564c2591b93","HARV_021.basePlot.bgc","D01","HARV","HARV_021","distributed","2018-04-17T17:16Z","NEON.DOC.014048vK","HARV_021-O-1-22.5-20180417","A00000001283","HARV_021-O-1-22.5-20180417-KCL","B00000006291","HARV_021-O-1-22.5","tInitial",0,"2018-04-18T16:24Z","HARV-20180418-BRef1",10.3,100,"2018-04-18T19Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
"163fbbab-558b-46f1-850e-00d37e16fe9b","HARV_005.basePlot.bgc","D01","HARV","HARV_005","distributed","2018-04-17T17:24Z","NEON.DOC.014048vK","HARV_005-O-36-21-20180417","A00000001245","HARV_005-O-36-21-20180417-KCL","B00000006308","HARV_005-O-36-21","tInitial",0,"2018-04-18T16:34Z","HARV-20180418-BRef1",10.14,100.1,"2018-04-18T19Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
"189530e5-fcc7-4a84-8b1f-690fb5c27271","HARV_021.basePlot.bgc","D01","HARV","HARV_021","distributed","2018-04-17T17:26Z","NEON.DOC.014048vK","HARV_021-M-1-22.5-20180417","A00000001262","HARV_021-M-1-22.5-20180417-KCL","B00000006275","HARV_021-M-1-22.5","tInitial",0,"2018-04-18T13:26Z","HARV-20180418-BRef1",10.05,100,"2018-04-18T18Z","OK","","ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA
