"uid","siteID","extractionStartDate","extractionEndDate","kclReferenceID","kclBlank1ID","kclBlank1Code","kclBlank2ID","kclBlank2Code","kclBlank3ID","kclBlank3Code","remarks","dataQF"
"2bc25c0e-77d8-4fdf-9655-bd78c5e04b2b","HARV","2018-04-18","2018-04-18","HARV-20180418-BREF1","HARV-20180418-BREF1-A","B00000006251","HARV-20180418-BREF1-B","B00000006261","HARV-20180418-BREF1-C","B00000006262",NA,NA
"30f7343c-fa16-49f2-8f40-3d0d783a7587","HARV","2018-04-19","2018-04-19","HARV-20180419-BREF1","HARV-20180419-BREF1-A","B00000006250","HARV-20180419-BREF1-B","B00000006258","HARV-20180419-BREF1-C","B00000006266",NA,NA
"68fafa73-3ff3-46f4-9a74-f06f4ddbd356","HARV","2018-04-20","2018-04-20","HARV-20180420-BREF1","HARV-20180420-BREF1-A","B00000006248","HARV-20180420-BREF1-B","B00000006257","HARV-20180420-BREF1-C","B00000006267",NA,NA
"4b301bdc-c0fa-4a82-b358-32789b0a0bc0","HARV","2018-05-08","2018-05-08","HARV-20180508-BREF1","HARV-20180508-BREF1-A","B00000006238","HARV-20180508-BREF1-B","B00000006239","HARV-20180508-BREF1-C","B00000006240",NA,NA
"a8e0f4d7-38c5-4f01-9e9a-72a8ba4897fe","HARV","2018-05-10","2018-05-10","HARV-20180510-BREF1","HARV-20180510-BREF1-A","B00000006247","HARV-20180510-BREF1-B","B00000006256","HARV-20180510-BREF1-C","B00000006264",NA,NA
"bbb7b5cf-cd5f-48c7-b6ba-3086868ce157","HARV","2018-07-10","2018-07-10","HARV-20180710-BREF1","HARV-20180710-BREF1-A","B00000006246","HARV-20180710-BREF1-B","B00000006255","HARV-20180710-BREF1-C","B00000006265",NA,NA
"ab82e397-cd5c-4ac7-830c-5ded7c5ce8fe","HARV","2018-07-11","2018-07-11","HARV-20180711-BREF1","HARV-20180711-BREF1-A","B00000006245","HARV-20180711-BREF1-B","B00000006253","HARV-20180711-BREF1-C","B00000006263",NA,NA
"0f43c0ca-a2aa-4357-83ad-db75b062e2a0","HARV","2018-07-12","2018-07-12","HARV-20180712-BREF1","HARV-20180712-BREF1-A","B00000006249","HARV-20180712-BREF1-B","B00000006254","HARV-20180712-BREF1-C","B00000006260",NA,NA
"b886a615-751d-4805-adf2-39df875df7f6","HARV","2018-07-13","2018-07-13","HARV-20180713-BREF1","HARV-20180713-BREF1-A","B00000006244","HARV-20180713-BREF1-B","B00000006252","HARV-20180713-BREF1-C","B00000006259",NA,NA
"457017b9-af26-4486-80a0-74e0c3de0bf5","HARV","2018-07-31","2018-07-31","HARV-20180731-BREF1","HARV-20180731-BREF1-A","B00000006242","HARV-20180731-BREF1-B","B00000006243","HARV-20180731-BREF1-C","B00000006241",NA,NA
"8d6c795d-e69a-4fbd-9e20-089b6c2d3f38","HARV","2018-08-01","2018-08-01","HARV-20180801-BREF1","HARV-20180801-BREF1-A","D00000008338","HARV-20180801-BREF1-B","D00000008333","HARV-20180801-BREF1-C","D00000008335",NA,NA
"5f0aaaa3-90bf-47a3-b1a2-6a76761da03e","HARV","2018-08-02","2018-08-02","HARV-20180802-BREF1","HARV-20180802-BREF1-A","D00000008337","HARV-20180802-BREF1-B","D00000008334","HARV-20180802-BREF1-C","D00000008336",NA,NA
"dc9cdb51-52ac-468d-8767-5016db23520a","HARV","2018-10-09","2018-10-09","HARV-20181009-BREF1","HARV-20181009-BREF1-A","B00000030913","HARV-20181009-BREF1-B","B00000030918","HARV-20181009-BREF1-C","B00000030917","",NA
"2966a4d4-6463-4b5c-8b41-a6bfefd51a32","HARV","2018-10-10","2018-10-10","HARV-20181010-BREF1","HARV-20181010-BREF1-A","B00000030916","HARV-20181010-BREF1-B","B00000030915","HARV-20181010-BREF1-C","B00000030914","Blank1 lost 10ml during shaking",NA
"de992bc4-bd1d-4fdd-bf52-0c09a6393a19","HARV","2018-10-11","2018-10-11","HARV-20181011-BREF1","HARV-20181011-BREF1-A","B00000030911","HARV-20181011-BREF1-B","B00000030910","HARV-20181011-BREF1-C","B00000030912","",NA
"b90b9b59-a2cf-417e-aa1c-b2c2e8455ec2","HARV","2018-10-30","2018-10-30","HARV-20181030-BREF1","HARV-20181030-BREF1-A","B00000030922","HARV-20181030-BREF1-B","B00000030924","HARV-20181030-BREF1-C","B00000030907","",NA
