"uid","namedLocation","domainID","siteID","plotID","plotType","collectDate","samplingProtocolVersion","sampleID","sampleCode","moistureSampleID","horizon","ovenStartDate","ovenEndDate","boatMass","freshMassBoatMass","dryMassBoatMass","soilMoisture","dryMassFraction","smRemarks","smMeasuredBy","dataQF"
"43302c95-3f47-429e-81dd-c3c81698ec5f","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-04-17T14:09Z","NEON.DOC.014048vK","HARV_002-M-9.5-1.5-20180417","A00000001239","HARV_002-M-9.5-1.5-20180417-SM","M","2018-04-18T12:30Z","2018-04-20T15:00Z",2.08,12.08,8.75,0.499,0.667,NA,"thillman@battelleecology.org",NA
"6503c5e8-6349-43a9-bb4b-2ace2dd9ba89","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-04-17T14:55Z","NEON.DOC.014048vK","HARV_002-M-34.5-24-20180417","A00000001238","HARV_002-M-34.5-24-20180417-SM","M","2018-04-18T12:30Z","2018-04-20T15:00Z",2.1,12.1,9.31,0.387,0.721,NA,"thillman@battelleecology.org",NA
"222bf6fa-a138-47b2-b03f-144d951f6766","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-04-17T14:55Z","NEON.DOC.014048vK","HARV_002-O-34.5-24-20180417","A00000001236","HARV_002-O-34.5-24-20180417-SM","O","2018-04-18T12:30Z","2018-04-20T15:00Z",2.13,7.17,3.68,2.252,0.308,NA,"thillman@battelleecology.org",NA
"9d2fec93-6cad-43f7-95d4-c6abea3002c1","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-04-17T15:07Z","NEON.DOC.014048vK","HARV_002-O-28.5-1.5-20180417","A00000001234","HARV_002-O-28.5-1.5-20180417-SM","O","2018-04-18T12:30Z","2018-04-20T15:00Z",2.1,7.11,3.87,1.831,0.353,NA,"thillman@battelleecology.org",NA
"dbc01331-8e29-4d8f-8fc3-abee765fb741","HARV_002.basePlot.bgc","D01","HARV","HARV_002",NA,"2018-04-17T15:07Z","NEON.DOC.014048vK","HARV_002-M-28.5-1.5-20180417","A00000001237","HARV_002-M-28.5-1.5-20180417-SM","M","2018-04-18T12:30Z","2018-04-20T15:00Z",2.11,12.13,9.17,0.419,0.705,NA,"thillman@battelleecology.org",NA
"be56b396-4ece-43f6-b9b4-802a55f14562","HARV_005.basePlot.bgc","D01","HARV","HARV_005",NA,"2018-04-17T16:36Z","NEON.DOC.014048vK","HARV_005-O-12.5-38-20180417","A00000001247","HARV_005-O-12.5-38-20180417-SM","O","2018-04-18T12:30Z","2018-04-20T15:00Z",2.09,7.07,2.99,4.533,0.181,NA,"thillman@battelleecology.org",NA
"ca24df00-1901-4087-bd27-2a81c82c276f","HARV_005.basePlot.bgc","D01","HARV","HARV_005",NA,"2018-04-17T17:09Z","NEON.DOC.014048vK","HARV_005-M-12.5-38-20180417","A00000001242","HARV_005-M-12.5-38-20180417-SM","M","2018-04-18T12:30Z","2018-04-20T15:00Z",2.09,12.13,7.16,0.98,0.505,NA,"thillman@battelleecology.org",NA
"22e1add7-7f44-418c-9c3b-009feb4bff45","HARV_021.basePlot.bgc","D01","HARV","HARV_021",NA,"2018-04-17T17:16Z","NEON.DOC.014048vK","HARV_021-O-1-22.5-20180417","A00000001283","HARV_021-O-1-22.5-20180417-SM","O","2018-04-18T12:30Z","2018-04-20T15:00Z",2.11,7.11,3.58,2.401,0.294,NA,"thillman@battelleecology.org",NA
"b182d87e-0cdc-42c4-9563-cbc53aeec987","HARV_005.basePlot.bgc","D01","HARV","HARV_005",NA,"2018-04-17T17:24Z","NEON.DOC.014048vK","HARV_005-O-36-21-20180417","A00000001245","HARV_005-O-36-21-20180417-SM","O","2018-04-18T12:30Z","2018-04-20T15:00Z",2.14,7.17,3.2,3.745,0.211,NA,"thillman@battelleecology.org",NA
"7f79a8bc-3bd4-443a-8045-a8b185704a19","HARV_021.basePlot.bgc","D01","HARV","HARV_021",NA,"2018-04-17T17:26Z","NEON.DOC.014048vK","HARV_021-M-1-22.5-20180417","A00000001262","HARV_021-M-1-22.5-20180417-SM","M","2018-04-18T12:30Z","2018-04-20T15:00Z",2.15,12.12,10.09,0.256,0.796,NA,"thillman@battelleecology.org",NA
"382de42d-ec63-40ea-b3b7-c2d3e9e58019","HARV_005.basePlot.bgc","D01","HARV","HARV_005",NA,"2018-04-17T17:36Z","NEON.DOC.014048vK","HARV_005-M-36-21-20180417","A00000001244","HARV_005-M-36-21-20180417-SM","M","2018-04-18T12:30Z","2018-04-20T15:00Z",2.14,12.12,8.61,0.543,0.648,NA,"thillman@battelleecology.org",NA
"d367cc3e-0f50-43ad-b5da-16d7c223f255","HARV_021.basePlot.bgc","D01","HARV","HARV_021",NA,"2018-04-17T17:43Z","NEON.DOC.014048vK","HARV_021-O-16.5-6-20180417","A00000001282","HARV_021-O-16.5-6-20180417-SM","O","2018-04-18T12:30Z","2018-04-20T15:00Z",2.12,7.14,3.66,2.26,0.307,NA,"thillman@battelleecology.org",NA
"0a64cb58-5189-4046-a04a-5aa16455bb07","HARV_005.basePlot.bgc","D01","HARV","HARV_005",NA,"2018-04-17T17:48Z","NEON.DOC.014048vK","HARV_005-M-21.5-5.5-20180417","A00000001246","HARV_005-M-21.5-5.5-20180417-SM","M","2018-04-18T12:30Z","2018-04-20T15:00Z",2.08,12.12,7.52,0.846,0.542,NA,"thillman@battelleecology.org",NA
"c7b783f0-1ebc-472c-9784-f0067918169f","HARV_021.basePlot.bgc","D01","HARV","HARV_021",NA,"2018-04-17T17:52Z","NEON.DOC.014048vK","HARV_021-M-16.5-6-20180417","A00000001261","HARV_021-M-16.5-6-20180417-SM","M","2018-04-18T12:30Z","2018-04-20T15:00Z",2.09,12.07,9.26,0.392,0.718,NA,"thillman@battelleecology.org",NA
"c19cbd7b-415d-4da2-bfb0-6557020b0c8f","HARV_021.basePlot.bgc","D01","HARV","HARV_021",NA,"2018-04-17T18:10Z","NEON.DOC.014048vK","HARV_021-O-28.5-1-20180417","A00000001281","HARV_021-O-28.5-1-20180417-SM","O","2018-04-18T12:30Z","2018-04-20T15:00Z",2.14,7.15,3.84,1.947,0.339,NA,"thillman@battelleecology.org",NA
"918c7308-7a1b-41d2-a231-c5c0537272cf","HARV_021.basePlot.bgc","D01","HARV","HARV_021",NA,"2018-04-17T18:21Z","NEON.DOC.014048vK","HARV_021-M-28.5-1-20180417","A00000001260","HARV_021-M-28.5-1-UNDEFINEDUNDEFINEDUNDEFINED-SM","M","2018-04-18T12:30Z","2018-04-20T15:00Z",2.1,12.12,10.06,0.259,0.794,NA,"thillman@battelleecology.org",NA
"3faf85a1-c02c-4ccb-82f3-0b7774d294e3","HARV_013.basePlot.bgc","D01","HARV","HARV_013",NA,"2018-04-18T14:26Z","NEON.DOC.014048vK","HARV_013-O-10.5-37-20180418","A00000001284","HARV_013-O-10.5-37-20180418-SM","O","2018-04-19T14:00Z","2018-04-23T14:15Z",2.17,7.16,5.4,0.545,0.647,NA,"dmikros@battelleecology.org",NA
"40e35440-4d64-47cc-8bcc-ee4a4bed2a62","HARV_013.basePlot.bgc","D01","HARV","HARV_013",NA,"2018-04-18T14:33Z","NEON.DOC.014048vK","HARV_013-M-10.5-37-20180418","A00000001263","HARV_013-M-10.5-37-20180418-SM","M","2018-04-19T13:25Z","2018-04-23T14:15Z",2.2,12.19,10.51,0.202,0.832,NA,"dmikros@battelleecology.org",NA
"372224eb-efdf-43d0-83d4-89068ecb8270","HARV_033.basePlot.bgc","D01","HARV","HARV_033",NA,"2018-04-18T14:41Z","NEON.DOC.014048vK","HARV_033-M-14.5-0-20180418","A00000001258","HARV_033-M-14.5-0-20180418-SM","M","2018-04-19T13:10Z","2018-04-23T14:15Z",2.12,12.11,7.96,0.711,0.585,NA,"dmikros@battelleecology.org",NA
"9f4650ef-fdd4-4501-ae81-450e016f6969","HARV_013.basePlot.bgc","D01","HARV","HARV_013",NA,"2018-04-18T14:53Z","NEON.DOC.014048vK","HARV_013-O-30-30.5-20180418","A00000001267","HARV_013-O-30-30.5-20180418-SM","O","2018-04-19T14:20Z","2018-04-23T14:15Z",2.11,7.11,4.01,1.632,0.38,NA,"dmikros@battelleecology.org",NA
"d0519eea-c249-4840-8c14-b548d14ee92e","HARV_013.basePlot.bgc","D01","HARV","HARV_013",NA,"2018-04-18T15:03Z","NEON.DOC.014048vK","HARV_013-M-30-30.5-20180418","A00000001264","HARV_013-M-30-30.5-20180418-SM","M","2018-04-19T13:30Z","2018-04-23T14:15Z",2.09,12.09,9.96,0.271,0.787,NA,"dmikros@battelleecology.org",NA
"a80e733a-b388-4266-a100-b2c31fe087fa","HARV_033.basePlot.bgc","D01","HARV","HARV_033",NA,"2018-04-18T15:14Z","NEON.DOC.014048vK","HARV_033-O-0-32.5-20180418","A00000001241","HARV_033-O-0-32.5-20180418-SM","O","2018-04-19T14:20Z","2018-04-23T14:15Z",2.15,7.13,3.23,3.611,0.217,NA,"dmikros@battelleecology.org",NA
"f21557be-0aff-49a3-9ba3-837a7e7f4a03","HARV_013.basePlot.bgc","D01","HARV","HARV_013",NA,"2018-04-18T15:15Z","NEON.DOC.014048vK","HARV_013-O-24.5-7.5-20180418","A00000001266","HARV_013-O-24.5-7.5-20180418-SM","O","2018-04-19T14:00Z","2018-04-23T14:15Z",2.17,7.18,4.99,0.777,0.563,NA,"dmikros@battelleecology.org",NA
"206c0e90-f460-4392-8e6b-72e3f1567578","HARV_013.basePlot.bgc","D01","HARV","HARV_013",NA,"2018-04-18T15:27Z","NEON.DOC.014048vK","HARV_013-M-24.5-7.5-20180418","A00000001265","HARV_013-M-24.5-7.5-20180418-SM","M","2018-04-19T13:10Z","2018-04-23T14:15Z",2.06,12.05,10.13,0.238,0.808,NA,"dmikros@battelleecology.org",NA
"769bf900-e4a4-4ee1-9cf6-eab4e3d1a738","HARV_033.basePlot.bgc","D01","HARV","HARV_033",NA,"2018-04-18T15:30Z","NEON.DOC.014048vK","HARV_033-M-0-32.5-20180418","A00000001259","HARV_033-M-0-32.5-20180418-SM","M","2018-04-19T13:15Z","2018-04-23T14:15Z",2.11,12.11,6.27,1.404,0.416,NA,"dmikros@battelleecology.org",NA
"7fa855de-4beb-4805-9f76-45858365e444","HARV_004.basePlot.bgc","D01","HARV","HARV_004",NA,"2018-04-18T16:22Z","NEON.DOC.014048vK","HARV_004-O-0.5-26.5-20180418","A00000001248","HARV_004-O-0.5-26.5-20180418-SM","O","2018-04-19T14:00Z","2018-04-23T14:15Z",2.16,7.15,3.75,2.138,0.319,NA,"dmikros@battelleecology.org",NA
"ecf637e1-8c01-4392-870b-a78435dc880c","HARV_004.basePlot.bgc","D01","HARV","HARV_004",NA,"2018-04-18T16:31Z","NEON.DOC.014048vK","HARV_004-M-0.5-26.5-20180418","A00000001231","HARV_004-M-0.5-26.5-20180418-SM","M","2018-04-19T13:30Z","2018-04-23T14:15Z",2.18,12.18,8.39,0.61,0.621,NA,"dmikros@battelleecology.org",NA
"c8de3c72-0e74-48c4-961c-3db3db2f11bc","HARV_033.basePlot.bgc","D01","HARV","HARV_033",NA,"2018-04-18T16:36Z","NEON.DOC.014048vK","HARV_033-O-31.5-30-20180418","A00000001280","HARV_033-O-31.5-30-20180418-SM","O","2018-04-19T14:20Z","2018-04-23T14:15Z",2.18,7.18,3.26,3.63,0.216,NA,"dmikros@battelleecology.org",NA
"3fed912d-789a-4f0c-97ae-732f0b273751","HARV_033.basePlot.bgc","D01","HARV","HARV_033",NA,"2018-04-18T16:40Z","NEON.DOC.014048vK","HARV_033-M-31.5-30-20180418","A00000001240","HARV_033-M-31.5-30-20180418-SM","M","2018-04-19T12:55Z","2018-04-23T14:15Z",2.12,12.12,7.77,0.77,0.565,NA,"dmikros@battelleecology.org",NA
"0f812cfe-d209-450f-aa8f-67ce5bc7fc71","HARV_004.basePlot.bgc","D01","HARV","HARV_004",NA,"2018-04-18T16:53Z","NEON.DOC.014048vK","HARV_004-O-36-30.5-20180418","A00000001249","HARV_004-O-36-30.5-20180418-SM","O","2018-04-19T13:55Z","2018-04-23T14:15Z",2.09,7.08,3.28,3.193,0.238,NA,"dmikros@battelleecology.org",NA
"01a60f0c-e617-4188-95e0-4996b718c14e","HARV_004.basePlot.bgc","D01","HARV","HARV_004",NA,"2018-04-18T17:07Z","NEON.DOC.014048vK","HARV_004-M-36-30.5-20180418","A00000001230","HARV_004-M-36-30.5-20180418-SM","M","2018-04-19T13:25Z","2018-04-23T14:15Z",2.14,12.14,8.35,0.61,0.621,NA,"dmikros@battelleecology.org",NA
