domainID,siteID,plotID,rootNPercent,rootCPercent,rootCNratio,rootSample_n,plotType,litterNPercent,foliarNPercent,foliarCPercent,foliarCNRatio,soilNPercent_OHoriz,soilCPercent_OHoriz,soilCNRatio_OHoriz,soilNPercent_MHoriz,soilCPercent_MHoriz,soilCNRatio_MHoriz,nlcdClass,decimalLatitude,decimalLongitude,easting,northing,utmZone,elevation
D01,BART,BART_032,0.6444444444444445,47.955555555555556,84.1,9,tower,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.067479,-71.287582,316801.48,4881911.91,19N,245.4
D01,BART,BART_032,0.6444444444444445,47.955555555555556,84.1,9,tower,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.067467,-71.28758,316801.6,4881910.57,19N,244.7
D01,BART,BART_033,0.875,49.2125,65.45,8,tower,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.063204,-71.283666,317101.93,4881428.37,19N,273.5
D01,BART,BART_033,0.875,49.2125,65.45,8,tower,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.063198,-71.283663,317102.15,4881427.69,19N,275.7
D01,BART,BART_034,0.7000000000000001,49.7625,81.4,8,tower,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixedForest,44.064283,-71.285609,316949.64,4881552.53,19N,267.5
D01,BART,BART_034,0.7000000000000001,49.7625,81.4,8,tower,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixedForest,44.064284,-71.285608,316949.72,4881552.64,19N,265.9
D01,BART,BART_036,0.8333333333333334,50.12222222222222,66.8,9,tower,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.06208,-71.285876,316921.46,4881308.43,19N,293.2
D01,BART,BART_036,0.8333333333333334,50.12222222222222,66.8,9,tower,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.062082,-71.285878,316921.3,4881308.66,19N,291
D01,BART,BART_037,0.7125,48.55,79.6875,8,tower,0.5333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.061597,-71.283251,317130.21,4881248.95,19N,292.5
D01,BART,BART_037,0.7125,48.55,79.6875,8,tower,0.5333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.061598,-71.283244,317130.78,4881249.05,19N,290.6
D01,BART,BART_039,0.6111111111111112,49.01111111111111,92.65555555555555,9,tower,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.063683,-71.288953,316679.96,4881493.33,19N,274.1
D01,BART,BART_039,0.6111111111111112,49.01111111111111,92.65555555555555,9,tower,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.063682,-71.288951,316680.12,4881493.21,19N,270.8
D01,BART,BART_040,0.6875,48.0375,86.6625,8,tower,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.065761,-71.291993,316442.91,4881730.91,19N,260.5
D01,BART,BART_040,0.6875,48.0375,86.6625,8,tower,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.06576,-71.29199,316443.15,4881730.79,19N,260.2
D01,BART,BART_041,0.75,49.0625,74.75,8,tower,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.06534,-71.285606,316953.13,4881669.93,19N,260.7
D01,BART,BART_041,0.75,49.0625,74.75,8,tower,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.065342,-71.28561,316952.82,4881670.16,19N,260.9
D01,BART,BART_042,0.8375,47.85,66.5875,8,tower,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.060186,-71.288047,316741.73,4881102.89,19N,288.8
D01,BART,BART_042,0.8375,47.85,66.5875,8,tower,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.060194,-71.288052,316741.36,4881103.79,19N,288.3
D01,BART,BART_044,0.68,48.64,82.58,10,tower,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.061037,-71.284327,317042.31,4881189.14,19N,302.9
D01,BART,BART_044,0.68,48.64,82.58,10,tower,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.061036,-71.284327,317042.31,4881189.03,19N,303.1
D01,BART,BART_046,0.7,49.3125,86.95,8,tower,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.059946,-71.28541,316952.2,4881070.37,19N,304.7
D01,BART,BART_046,0.7,49.3125,86.95,8,tower,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.059946,-71.285408,316952.36,4881070.37,19N,303
D01,BART,BART_047,0.7000000000000001,48.775,83.4625,8,tower,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.064958,-71.290866,316530.69,4881639.21,19N,266.9
D01,BART,BART_047,0.7000000000000001,48.775,83.4625,8,tower,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.064968,-71.290855,316531.6,4881640.29,19N,262.9
D01,BART,BART_050,0.6555555555555556,48.63333333333333,89.15555555555555,9,tower,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixedForest,44.061507,-71.2877,316773.6,4881248.85,19N,287.8
D01,BART,BART_050,0.6555555555555556,48.63333333333333,89.15555555555555,9,tower,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixedForest,44.06151,-71.28769,316774.41,4881249.16,19N,287.7
D01,BART,BART_051,0.625,50.05,90.775,8,tower,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.062849,-71.287737,316774.78,4881397.99,19N,280
D01,BART,BART_051,0.625,50.05,90.775,8,tower,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,44.062847,-71.287742,316774.37,4881397.78,19N,280.4
D01,BART,BART_070,0.725,48.7625,77.6625,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixedForest,44.064339,-71.281445,317283.3,4881549.5,19N,249.8
