"","siteID","npp_g_m2"
"1","ABBY",754.62
"2","ARIK",287.39
"3","BARC",759.64
"4","BARR",74.76
"5","BART",732.19
"6","BIGC",418.63
"7","BLAN",626.52
"8","BLDE",297.83
"9","BLUE",461.28
"10","BLWA",360.89
"11","BONA",433.19
"12","CARI",410.03
"13","CLBJ",445.34
"14","COMO",584.63
"15","CPER",227.11
"16","CRAM",699.47
"17","CUPE",1537.74
"18","DCFS",520.68
"19","DEJU",381.79
"20","DELA",369.31
"21","DSNY",762.86
"22","FLNT",531.68
"23","GRSM",632.89
"24","GUAN",1625.33
"25","GUIL",1566.1
"26","HARV",678.11
"27","HEAL",299.58
"28","HOPB",681.24
"29","JERC",745.94
"30","JORN",120.29
"31","KING",433.98
"32","KONA",425.45
"33","KONZ",405.19
"34","LAJA",985.44
"35","LECO",632.89
"36","LENO",3276.3
"37","LEWI",645.71
"38","LIRO",692.91
"39","MART",787.53
"40","MAYF",557.3
"41","MCDI",446.79
"42","MCRA",842.92
"43","MLBS",838.23
"44","MOAB",153.89
"45","NIWO",249.93
"46","NOGP",400.59
"47","OAES",307.05
"48","OKSR",193.13
"49","ONAQ",158.79
"50","ORNL",743.08
"51","OSBS",790.62
"52","POSE",741.71
"53","PRIN",340.63
"54","PRLA",444.81
"55","PRPO",436.04
"56","PUUM",1205.36
"57","REDB",537.43
"58","RMNP",515.51
"59","SCBI",737.13
"60","SERC",883.83
"61","SJER",547.78
"62","SOAP",411.02
"63","SRER",142.02
"64","STEI",683.4
"65","STER",261.64
"66","SUGG",649.47
"67","SYCA",163.04
"68","TALL",579.66
"69","TEAK",593.42
"70","TECR",599.15
"71","TOMB",3276.3
"72","TOOK",3276.6
"73","TOOL",194.71
"74","TREE",711.78
"75","UKFS",473.45
"76","UNDE",699.05
"77","WALK",740.29
"78","WLOU",510.76
"79","WOOD",466.29
"80","WREF",795.83
"81","YELL",323.86
