x,y,siteID,Bio 1 ,Bio 2,Bio 3,Bio 4,Bio 5,Bio 6,Bio 7,Bio 8,Bio 9,Bio 10,Bio 11,Bio 12,Bio 13,Bio 14,Bio 15,Bio 16,Bio 17,Bio 18,Bio 19
-156.61936,71.28241,BARR,-11.98750019,6.091670036,15.22920036,1309.880005,9.199999809,-30.79999924,40,3.633330107,-26.06669998,4.416669846,-26.54999924,109,27,3,84.30639648,67,9,55,10
-149.143018,68.669753,OKSR,-10.05420017,10.32499981,22.84289932,1387.939941,14.80000019,-30.39999962,45.20000076,8.233329773,-21,8.233329773,-24.7833004,239,46,8,62.58309937,118,29,118,34
-149.37047,68.66109,TOOL,-10.01669979,10.36670017,22.93510056,1383.930054,14.69999981,-30.5,45.20000076,8.266670227,-13.2833004,8.266670227,-24.61669922,238,47,8,64.81479645,120,27,120,34
-149.610636,68.630692,TOOK,-9.516670227,10.5,23.02630043,1391.650024,15.39999962,-30.20000076,45.59999847,8.850000381,-20.5333004,8.850000381,-24.2833004,237,47,7,64.88960266,120,25,120,33
-147.50246,65.15306,CARI,-2.941669941,11.66670036,24.8227005,1359.619995,21.70000076,-25.29999924,47,13.81669998,-10.30000019,13.81669998,-18.58329964,327,52,10,49.16809845,143,42,143,55
-147.50258,65.15401,BONA,-2.941669941,11.66670036,24.8227005,1359.619995,21.70000076,-25.29999924,47,13.81669998,-10.30000019,13.81669998,-18.58329964,327,52,10,49.16809845,143,42,143,55
-145.75136,63.88112,DEJU,-3.091670036,10.7166996,24.08239937,1301.069946,20.79999924,-23.70000076,44.5,13.10000038,-10.05000019,13.10000038,-18.2166996,287,66,4,91.76609802,180,18,180,27
-149.21334,63.87569,HEAL,-3.370830059,11.35830021,26.47629929,1212.109985,19.79999924,-23.10000038,42.90000153,11.98330021,-10.55000019,11.98330021,-17.08329964,416,80,15,63.98350143,210,52,210,57
-99.106556,47.161647,DCFS,4.433330059,12.73330021,26.97739983,1258.48999,27.5,-19.70000076,47.20000076,16.76670074,-11.80000019,19.20000076,-11.80000019,438,88,8,70.99639893,213,27,211,27
-99.11388,47.15909,PRLA,4.433330059,12.73330021,26.97739983,1259.280029,27.5,-19.70000076,47.20000076,16.7833004,-11.80000019,19.2166996,-11.80000019,438,88,8,70.99639893,213,27,211,27
-99.241356,47.128228,WOOD,4.362500191,12.625,26.63500023,1261.439941,27.5,-19.89999962,47.40000153,16.68330002,-11.91670036,19.18330002,-11.91670036,420,87,6,74.12979889,208,22,208,22
