LCclass,climate,ClimateDesc,ClimateGrp,domainID,siteID
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,BART
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D01,HARV
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D02,SCBI
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
NA,NA,NA,NA,D03,DSNY
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
woody savannas,Aw,Tropical savanna climate with dry-winter characteristics,Tropical,D04,GUAN
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
deciduous broadleaf forest,Dfb,Warm-summer humid continental climate,Continental,D05,STEI
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
mixed forest,Dfb,Warm-summer humid continental climate,Continental,D05,UNDE
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
grasslands,Cfa,Humid subtropical climate,Temperate,D06,KONZ
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
savannas,Cfa,Humid subtropical climate,Temperate,D06,UKFS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfb,Temperate oceanic climate,Temperate,D07,MLBS
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D07,ORNL
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
woody savannas,Cfa,Humid subtropical climate,Temperate,D08,LENO
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
mixed forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
mixed forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
mixed forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
mixed forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
mixed forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
mixed forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
mixed forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
mixed forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
deciduous broadleaf forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
mixed forest,Cfa,Humid subtropical climate,Temperate,D08,TALL
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
NA,NA,NA,NA,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
NA,NA,NA,NA,D09,WOOD
NA,NA,NA,NA,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
NA,NA,NA,NA,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
croplands,Dfb,Warm-summer humid continental climate,Continental,D09,WOOD
NA,NA,NA,NA,D09,WOOD
NA,NA,NA,NA,D09,WOOD
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D10,STER
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
NA,NA,NA,NA,D11,OAES
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
grasslands,BSk,Cold semi-arid (steppe) climate,Dry,D13,MOAB
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
open shrublands,BWk,Cold desert climate,Dry,D14,JORN
grasslands,Cfa,Humid subtropical climate,Temperate,D15,ONAQ
grasslands,Cfa,Humid subtropical climate,Temperate,D15,ONAQ
grasslands,Cfa,Humid subtropical climate,Temperate,D15,ONAQ
grasslands,Cfa,Humid subtropical climate,Temperate,D15,ONAQ
