site,Lcclass
HARV,MIXED_FOREST
DSNY,SAVANNAS
OSBS,WOODY_SAVA
STEI,DECIDUOUS_FOREST
TREE,DECIDUOUS_FOREST
UNDE,MIXED_FOREST
KONZ,GRASSLANDS
TALL,DECIDUOUS_FOREST
NOGP,CROPLANDS
WOOD,CROPLANDS
RMNP,WOODY_SAVA
CPER,GRASSLANDS
OAES,GRASSLANDS
MOAB,GRASSLANDS
NIWO,WOODY_SAVA
SRER,OPEN_SHRUB
WREF,EVERGREEN_FOREST
BONA,WOODY_SAVA
DEJU,WOODY_SAVA
JERC,WOODY_SAVA
HEAL,OPEN_SHRUB
JORN,OPEN_SHRUB
YELL,GRASSLANDS
GRSM,DECIDUOUS_FOREST
CLBJ,GRASSLANDS
TEAK,WOODY_SAVA
BARR,GRASSLANDS
BART,DECIDUOUS_FOREST
ONAQ,GRASSLANDS
TOOL,OPEN_SHRUB
ABBY,EVERGREEN_FOREST
ORNL,DECIDUOUS_FOREST
SCBI,DECIDUOUS_FOREST
