"","siteID","x","y"
"1","ABBY",-122.33033,45.76243
"2","BART",-71.28731,44.06388
"3","BLAN",-78.07164,39.06026
"4","CLBJ",-97.57,33.40123
"5","CPER",-104.745602,40.815534
"6","DELA",-87.80389,32.54172
"7","DSNY",-81.4362,28.12504
"8","GRSM",-83.50195,35.68896
"9","HARV",-72.17266,42.5369
"10","JERC",-84.46861,31.19484
"11","JORN",-106.84254,32.59068
"12","KONZ",-96.56309,39.10077
"13","LENO",-88.16122,31.85388
"14","MLBS",-80.52484,37.37828
"15","MOAB",-109.38827,38.24833
"16","NIWO",-105.58237,40.05425
"17","NOGP",-100.91535,46.76972
"18","OAES",-99.05879,35.41059
"19","ONAQ",-112.45244,40.17759
"20","ORNL",-84.2826,35.96412
"21","OSBS",-81.99343,29.68927
"22","RMNP",-105.54592,40.27591
"23","SCBI",-78.1395,38.89292
"24","SERC",-76.56001,38.89008
"25","SJER",-119.73228,37.10878
"26","SOAP",-119.26219,37.03337
"27","SRER",-110.83549,31.91068
"28","STEI",-89.586365,45.508942
"29","STER",-103.029297,40.461903
"30","TALL",-87.39327,32.95046
"31","TREE",-89.58571,45.493691
"32","UKFS",-95.19215,39.04043
"33","UNDE",-89.53725,46.23388
"34","WREF",-121.951912,45.820488
"35","YELL",-110.53914,44.95348
