siteID,plotID,plotType,collectDate,root_0-05_carbonPercent,root_0-05_CNratio,root_0-05_nitrogenPercent,root_05-1_carbonPercent,root_05-1_CNratio,root_05-1_nitrogenPercent,root_1-2_carbonPercent,root_1-2_CNratio,root_1-2_nitrogenPercent,root_2-10_carbonPercent,root_2-10_CNratio,root_2-10_nitrogenPercent
BART,BART_032,tower,2016-07-27T12:39Z,48.6,47.5,1,48.8,77.6,0.6,48.4,95.5,0.5,47,122.4,0.4
BART,BART_032,tower,2016-07-27T12:53Z,49.3,48.6,1,48.2,61.2,0.8,46.3,66.6,0.7,47.5,118.75,0.4
BART,BART_033,tower,2016-07-26T17:37Z,49.6,37.5,1.3,49.7,47.3,1.1,49.6,86.2,0.6,48.2,102.4,0.5
BART,BART_033,tower,2016-07-26T17:50Z,49.4,36.9,1.3,49.9,50.7,1,49.9,71.7,0.7,47.4,90.9,0.5
BART,BART_034,tower,2016-07-26T18:21Z,51.1,47.4,1.1,50.8,62.8,0.8,50.3,85.8,0.6,46.6,144,0.3
BART,BART_034,tower,2016-07-26T18:34Z,50.8,49.9,1,50.5,66.6,0.8,50.1,86.2,0.6,47.9,108.5,0.4
BART,BART_036,tower,2016-07-26T16:57Z,49.3,45.8,1.1,49.5,61.4,0.8,49.4,86.1,0.6,50.9,112.9,0.5
BART,BART_036,tower,2016-07-26T17:12Z,51.5,50.1,1.05,49.7,50.8,1,53.1,63.9,0.8,46.2,80.1,0.6
BART,BART_037,tower,2016-07-15T13:03Z,49.4,41.8,1.2,48,71,0.7,48.3,93,0.5,47.5,105.5,0.5
BART,BART_037,tower,2016-07-15T13:22Z,48.7,43.1,1.1,49.8,68.9,0.7,49.7,89.7,0.6,47,124.5,0.4
BART,BART_039,tower,2016-07-27T13:22Z,49.6,47.7,1,50.6,74.9,0.7,49.7,93.9,0.5,47.5,116.1,0.4
BART,BART_039,tower,2016-07-27T13:36Z,49.6,44.4,1.1,50.3,71.4,0.7,49.5,92.2,0.5,47.15,146.65,0.3
BART,BART_040,tower,2016-07-20T18:08Z,50.2,41.8,1.2,48.8,64.1,0.8,45.8,97.2,0.5,45.5,131.2,0.3
BART,BART_040,tower,2016-07-20T18:25Z,48.3,44,1.1,49.7,76.4,0.7,47.8,100.9,0.5,48.2,137.7,0.4
BART,BART_041,tower,2016-07-27T11:42Z,47.7,42.6,1.1,50.2,51.7,1,50.5,85.9,0.6,49.9,101.4,0.5
BART,BART_041,tower,2016-07-27T11:46Z,49.9,39.9,1.3,45.2,83.4,0.5,50.6,84,0.6,48.5,109.1,0.4
BART,BART_042,tower,2016-07-27T14:02Z,46.3,32.9,1.4,51,53.5,1,48.3,69.7,0.7,45.7,74.1,0.6
BART,BART_042,tower,2016-07-27T14:15Z,48.4,38.9,1.2,48.6,55.1,0.9,47.5,103.1,0.5,47,105.4,0.4
BART,BART_044,tower,2016-07-15T12:12Z,49.7,44,1.1,49.55,64.65,0.75,49.6,86.4,0.6,45.95,125.75,0.4
BART,BART_044,tower,2016-07-15T12:36Z,49.1,44.1,1.1,50.5,66.5,0.8,49.2,92.7,0.5,47.3,111.3,0.4
BART,BART_046,tower,2016-07-14T17:00Z,49.4,40.9,1.2,49.4,73.9,0.7,49.4,97,0.5,46.6,146.1,0.3
BART,BART_046,tower,2016-07-14T17:21Z,49.6,38.9,1.3,50.4,76.6,0.7,49.6,102.8,0.5,50.1,119.4,0.4
BART,BART_047,tower,2016-07-20T18:53Z,50.9,47.3,1.1,49.3,53.7,0.9,48.5,92.4,0.5,47.4,122.7,0.4
BART,BART_047,tower,2016-07-20T19:19Z,50,46.1,1.1,49.8,73.2,0.7,46.9,79.6,0.6,47.4,152.7,0.3
BART,BART_050,tower,2016-07-21T13:53Z,48.8,44.8,1.1,49.9,64.2,0.8,50.2,88.8,0.6,48.25,120.75,0.4
BART,BART_050,tower,2016-07-21T14:09Z,46.3,40.9,1.1,48.5,68.3,0.7,48.2,106.6,0.5,49.3,147.3,0.3
BART,BART_051,tower,2016-07-21T11:50Z,50.3,50.5,1,51,68.6,0.7,49.7,85,0.6,49.1,117.1,0.4
BART,BART_051,tower,2016-07-21T12:09Z,50.5,52.5,1,50.7,85.1,0.6,50.2,112.9,0.4,48.9,154.5,0.3
BART,BART_070,tower,2016-07-26T16:11Z,48.7,58.1,0.8,45.7,87.7,0.5,49.2,83.9,0.6,48.5,140,0.3
BART,BART_070,tower,2016-07-26T16:25Z,49.2,48.8,1,48.6,41.5,1.2,52.7,59.2,0.9,47.5,102.1,0.5
BART,BART_071,tower,2016-07-20T16:56Z,50.1,44.1,1.1,50.8,66.95,0.8,49.1,110.3,0.4,49.2,134.5,0.4
BART,BART_071,tower,2016-07-20T17:23Z,44.7,40.2,1.1,48.3,69.4,0.7,48.2,103.4,0.5,41.9,196.6,0.2
BART,BART_072,tower,2016-07-15T14:16Z,48.1,37.2,1.3,50.6,58.5,0.9,49.9,82.9,0.6,48.3,111,0.4
BART,BART_072,tower,2016-07-15T14:42Z,49.2,37.8,1.3,50.2,49.7,1,50.2,81.1,0.6,50.3,100.9,0.5
BART,BART_073,tower,2016-07-21T12:46Z,48.6,40.1,1.2,49.5,72.5,0.7,49,93.8,0.5,48.2,145.3,0.3
BART,BART_073,tower,2016-07-21T13:05Z,49.7,50.2,1,49.9,76.2,0.7,49.3,92,0.5,48.3,136.4,0.3
BART,BART_074,tower,2016-07-14T15:56Z,48.7,36.3,1.3,50.05,59.55,0.85,49.5,75.1,0.7,48.2,135.8,0.3
BART,BART_074,tower,2016-07-14T16:24Z,49.1,46.6,1.1,48.9,67.5,0.7,48.3,83.1,0.6,47.2,130.7,0.35
BART,BART_075,tower,2016-07-14T17:49Z,47.3,40.6,1.2,48.7,47.4,1,48.4,83.9,0.6,48.6,159.1,0.3
BART,BART_075,tower,2016-07-14T18:32Z,48.1,40.1,1.2,48.8,45.5,1.1,47.9,93.2,0.5,47.2,133.1,0.3
DEJU,DEJU_045,tower,2018-08-06T20:37Z,48.16,48.1,1,49.88,67.1,0.74,NA,NA,0.53,51.05,72.6,0.7
DEJU,DEJU_045,tower,2018-08-13T21:21Z,40.5,37.1,1.09,45.43,43.8,1.04,48.5,59.6,0.81,NA,NA,0.47
DEJU,DEJU_046,tower,2018-08-06T21:56Z,47.215,53.15,0.89,49.04,67.5,0.73,49.57,80.4,0.62,NA,NA,0.48
DEJU,DEJU_046,tower,2018-09-19T22:12Z,47.36,48.6,0.97,51.48,68.9,0.75,NA,NA,0.54,NA,NA,0.35
DEJU,DEJU_047,tower,2018-08-15T20:30Z,50,57.1,0.88,46.625,49.15,1.065,NA,NA,0.62,NA,NA,0.38
DEJU,DEJU_047,tower,2018-08-20T21:53Z,46.25,43.7,1.06,47.1,53.1,0.89,49.32,67.9,0.73,NA,NA,0.45
DEJU,DEJU_048,tower,2018-07-31T22:04Z,52.04,67.3,0.77,52.18,75.75,0.685,NA,NA,0.53,NA,NA,0.57
DEJU,DEJU_048,tower,2018-09-17T20:59Z,50.19,54.3,0.92,50.47,71.5,0.71,NA,NA,0.57,NA,NA,0.29
DEJU,DEJU_049,tower,2018-08-08T21:57Z,49.63,53.2,0.93,50.4,64.2,0.79,50.71,81.5,0.62,NA,NA,0.43
DEJU,DEJU_049,tower,2018-08-20T21:03Z,48.53,51,0.95,49.31,60.7,0.81,49.69,72,0.69,50.59,72.9,0.69
DEJU,DEJU_050,tower,2018-08-20T23:21Z,41.68,40.8,1.02,48.51,62.4,0.78,NA,NA,0.59,NA,NA,0.36
DEJU,DEJU_050,tower,2018-08-22T19:51Z,43.86,44.2,0.99,41.39,43.8,0.95,NA,NA,0.58,NA,NA,0.55
DEJU,DEJU_051,tower,2018-08-28T20:06Z,48.02,46.75,1.03,49.91,71.6,0.7,NA,NA,0.52,NA,NA,0.39
DEJU,DEJU_051,tower,2018-08-28T20:41Z,51.08,51.2,1,51.81,66.5,0.78,51.71,89.8,0.58,NA,NA,0.25
DEJU,DEJU_052,tower,2018-08-13T22:07Z,46.22,46,1.01,48.38,52.7,0.92,49.8,74.8,0.67,50.93,75.3,0.68
DEJU,DEJU_052,tower,2018-08-13T22:25Z,42.05,42.8,0.98,44.59,41.7,1.07,48.73,61.6,0.79,NA,NA,0.56
DEJU,DEJU_053,tower,2018-07-31T19:17Z,47.47,52.2,0.91,49.97,66.6,0.75,50.545,78.25,0.65,NA,NA,0.51
