"","siteID","Soil C:N","N.x","Root C:N","N.y","Leaf C:N","N.x.x","Litter C:N","N.y.y"
"1","BART",19,16,68.07,20,NA,NA,96.41,19
"2","BONA",20,10,59.74,20,27.46,5,88.92,20
"3","CLBJ",22,10,52.71,30,27.64,20,46.6,22
"4","DEJU",14,10,72.27,20,51.67,14,166.01,14
"5","DELA",20,10,48.56,20,20.59,15,42.57,20
"6","GUAN",20,10,33.99,17,22.49,14,39,20
"7","HARV",40,24,69.99,40,32.96,28,75.38,40
"8","JERC",20,11,74.66,20,36.01,22,92.34,20
"9","KONZ",4,10,61.92,30,30.5,20,52.42,4
"10","LENO",20,20,59.62,20,21.73,28,51.88,20
"11","MLBS",16,10,61.64,16,23.13,14,40.63,16
"12","ORNL",20,13,63.45,20,28.44,14,61.07,20
"13","PUUM",20,6,84.05,18,73.33,7,114.46,20
"14","SCBI",12,13,37.39,20,22.26,14,57.75,12
"15","SJER",17,10,35.89,20,21.47,20,51.18,17
"16","SOAP",20,9,55.17,20,33.91,14,64.89,20
"17","STEI",17,10,62.48,17,24.26,14,64.31,17
"18","TALL",19,11,75.74,20,36.08,14,80.24,19
"19","UKFS",20,10,38.49,20,19.59,14,42.22,20
"20","UNDE",20,18,61.1,20,25.54,20,60.47,20
"21","WREF",20,10,82.21,20,58.05,12,115.7,20
