"","% Total Soil N","Inorganic Soil N","% Root N","% Folir N","% Litter N","Soil C:N","Root C:N","Foliar C:N","Liter C:N","MAP"
"% Total Soil N",NA,0,0.00417002122190313,0.0035402793744681,0.00161225827080091,0.0454548107206514,0.0348306784931627,0.00134159747989582,0.00611519628217638,0.000610314684938995
"Inorganic Soil N",0,NA,1.64262141377769e-06,9.85387148166872e-06,1.04596730317041e-05,1.63267177555326e-11,0.000965645658227654,7.47563007341689e-06,0.00236134560713008,0.30169740511568
"% Root N",0.00417002122190313,1.64262141377769e-06,NA,0.000572611168205839,0,1.11769518085225e-08,0,0.000105165093932769,0,6.83861856032308e-11
"% Folir N",0.0035402793744681,9.85387148166872e-06,0.000572611168205839,NA,3.20272652842846e-09,0,0.0749007725226549,0,8.41613889690507e-10,0.167570599835359
"% Litter N",0.00161225827080091,1.04596730317041e-05,0,3.20272652842846e-09,NA,6.21584482107806e-07,0,8.76366534896533e-10,0,0.0203054563996832
"Soil C:N",0.0454548107206514,1.63267177555326e-11,1.11769518085225e-08,0,6.21584482107806e-07,NA,4.88793361341777e-09,0,2.89609622949882e-08,0.000883232736522244
"Root C:N",0.0348306784931627,0.000965645658227654,0,0.0749007725226549,0,4.88793361341777e-09,NA,0.00620551336895669,0,0
"Foliar C:N",0.00134159747989582,7.47563007341689e-06,0.000105165093932769,0,8.76366534896533e-10,0,0.00620551336895669,NA,5.89972515285808e-13,0.688541991520087
"Liter C:N",0.00611519628217638,0.00236134560713008,0,8.41613889690507e-10,0,2.89609622949882e-08,0,5.89972515285808e-13,NA,1.21458398893992e-13
"MAP",0.000610314684938995,0.30169740511568,6.83861856032308e-11,0.167570599835359,0.0203054563996832,0.000883232736522244,0,0.688541991520087,1.21458398893992e-13,NA
