"","% Total Soil N","Inorganic Soil N","% Root N","% Folir N","% Litter N","Soil C:N","Root C:N","Foliar C:N","Liter C:N","MAP"
"% Total Soil N",1,0.656750892584911,0.264128497691646,0.186409543813252,0.355735852725029,-0.12346700530359,-0.1970077352154,-0.20585953494868,-0.320145695866563,0.175018608741812
"Inorganic Soil N",0.656750892584911,1,0.448074310102476,0.289328749937453,0.506548348003635,-0.449991458146433,-0.322002445998006,-0.29557973688374,-0.379328335656245,0.0560086456782405
"% Root N",0.264128497691646,0.448074310102476,1,0.319045981026251,0.596876087863428,-0.568658987684195,-0.823860148841859,-0.361339501975353,-0.537208888211069,-0.255500763589567
"% Folir N",0.186409543813252,0.289328749937453,0.319045981026251,1,0.609392843856381,-0.617011004943179,-0.170520398984927,-0.873730923465073,-0.643239114288903,-0.067223429693005
"% Litter N",0.355735852725029,0.506548348003635,0.596876087863428,0.609392843856381,1,-0.56177337067338,-0.474630239991864,-0.635935844096436,-0.870540093957194,-0.120612488989711
"Soil C:N",-0.12346700530359,-0.449991458146433,-0.568658987684195,-0.617011004943179,-0.56177337067338,1,0.579894548110612,0.58385820467802,0.623492605468099,0.203860369009991
"Root C:N",-0.1970077352154,-0.322002445998006,-0.823860148841859,-0.170520398984927,-0.474630239991864,0.579894548110612,1,0.259416530489977,0.516901952336549,0.420391427484322
"Foliar C:N",-0.20585953494868,-0.29557973688374,-0.361339501975353,-0.873730923465073,-0.635935844096436,0.58385820467802,0.259416530489977,1,0.721635262924466,0.0197099245838666
"Liter C:N",-0.320145695866563,-0.379328335656245,-0.537208888211069,-0.643239114288903,-0.870540093957194,0.623492605468099,0.516901952336549,0.721635262924466,1,0.392581805665898
"MAP",0.175018608741812,0.0560086456782405,-0.255500763589567,-0.067223429693005,-0.120612488989711,0.203860369009991,0.420391427484322,0.0197099245838666,0.392581805665898,1
