"","siteID","N.x.x","%TotalSoil","N.y.x","%InorganicSoil","N.x.y","%Root","N.y.y","%Foliar"
"1","BART",16,0.28,NA,NA,20,0.72,NA,NA
"2","BLAN",10,0.12,11,0.74,NA,NA,NA,NA
"3","BONA",10,0.35,10,0.25,20,0.84,5,1.88
"4","CLBJ",10,0.08,11,0.31,30,0.88,20,1.78
"5","CPER",10,0.08,NA,NA,NA,NA,NA,NA
"6","DCFS",10,0.33,11,0.47,30,0.92,20,1.43
"7","DEJU",10,0.16,11,0.16,20,0.69,14,1.3
"8","DELA",10,0.14,11,0.34,20,0.95,15,2.49
"9","DSNY",11,0.07,12,0.12,30,0.65,14,1.02
"10","GRSM",9,0.21,NA,NA,NA,NA,NA,NA
"11","GUAN",10,1.35,11,2.51,17,1.42,14,2.2
"12","HARV",12,0.22,11,0.47,20,0.71,14,1.58
"13","HEAL",1,0.13,NA,NA,NA,NA,NA,NA
"14","JERC",11,0.05,10,0.24,20,0.65,22,1.41
"15","JORN",5,0.04,11,0.62,30,0.92,14,2.03
"16","KONA",10,0.13,11,0.64,25,1.84,20,3.01
"17","KONZ",10,0.36,11,0.42,30,0.71,20,1.58
"18","LENO",10,0.17,11,0.35,10,0.79,14,2.23
"19","MLBS",10,0.22,11,0.7,16,0.78,14,2.27
"20","MOAB",9,0.05,11,0.19,30,1.06,14,1.56
"21","NIWO",11,0.41,10,0.58,25,1.06,10,1.44
"22","OAES",10,0.15,11,0.3,30,1.06,20,0.85
"23","ONAQ",14,0.13,NA,NA,30,0.91,NA,NA
"24","ORNL",13,0.09,11,1.22,20,0.78,14,1.8
"25","OSBS",9,0.37,NA,NA,NA,NA,NA,NA
"26","PUUM",6,1.17,9,0.55,18,0.68,7,0.89
"27","SCBI",13,0.23,11,1.33,20,1.25,14,2.29
"28","SERC",10,0.13,NA,NA,NA,NA,NA,NA
"29","SJER",10,0.09,11,0.5,20,1.18,20,2.23
"30","SOAP",9,0.15,10,0.28,20,0.89,14,1.56
"31","SRER",9,0.05,NA,NA,NA,NA,NA,NA
"32","STEI",10,0.32,11,0.63,17,0.76,14,2.11
"33","STER",15,0.1,11,0.67,10,1.6,12,1.3
"34","TALL",11,0.07,11,0.27,20,0.66,14,1.42
"35","TOOL",9,0.29,11,0.61,30,0.83,18,2.06
"36","TREE",9,0.13,11,0.56,NA,NA,NA,NA
"37","UKFS",10,0.31,11,0.39,20,1.27,14,2.51
"38","UNDE",18,0.17,10,0.37,20,0.83,20,2.17
"39","WOOD",10,0.41,NA,NA,28,0.75,20,1.36
"40","WREF",10,0.11,11,0.13,20,0.59,12,0.91
